"Date","Ring","Start_date","End_date","canopy_p_retrans_flux","Days"
"2014-04-14",4,"2014-03-13","2014-04-14",0.147015677308327,33
"2014-04-14",5,"2014-03-13","2014-04-14",0.228704307902971,33
"2014-04-14",6,"2014-03-13","2014-04-14",0.316474397200036,33
"2014-05-07",1,"2014-04-14","2014-05-07",0.0736212212018283,24
"2014-05-07",2,"2014-04-14","2014-05-07",0.131607318677238,24
"2014-05-07",3,"2014-04-14","2014-05-07",0.137172582376101,24
"2014-05-07",4,"2014-04-14","2014-05-07",0.085829976339846,24
"2014-05-07",5,"2014-04-14","2014-05-07",0.13345961267546,24
"2014-05-07",6,"2014-04-14","2014-05-07",0.139409525121697,24
"2014-06-12",1,"2014-05-07","2014-06-12",0.0658253699164452,37
"2014-06-12",2,"2014-05-07","2014-06-12",0.117336651804964,37
"2014-06-12",3,"2014-05-07","2014-06-12",0.165374559299651,37
"2014-06-12",4,"2014-05-07","2014-06-12",0.155311732660671,37
"2014-06-12",5,"2014-05-07","2014-06-12",0.0972574098936326,37
"2014-06-12",6,"2014-05-07","2014-06-12",0.211594214295489,37
"2014-07-03",1,"2014-06-12","2014-07-03",0.133713757010863,22
"2014-07-03",2,"2014-06-12","2014-07-03",0.222429888010415,22
"2014-07-03",3,"2014-06-12","2014-07-03",0.327479173684364,22
"2014-07-03",4,"2014-06-12","2014-07-03",0.269132716429734,22
"2014-07-03",5,"2014-06-12","2014-07-03",0.266339213566281,22
"2014-07-03",6,"2014-06-12","2014-07-03",0.49190288811539,22
"2014-08-14",1,"2014-07-03","2014-08-14",0.0501361922603674,43
"2014-08-14",2,"2014-07-03","2014-08-14",0.0969757522043587,43
"2014-08-14",3,"2014-07-03","2014-08-14",0.156802695040845,43
"2014-08-14",4,"2014-07-03","2014-08-14",0.121951929756462,43
"2014-08-14",5,"2014-07-03","2014-08-14",0.140878317513435,43
"2014-08-14",6,"2014-07-03","2014-08-14",0.110147344008239,43
"2014-09-15",1,"2014-08-14","2014-09-15",0.0697406173741822,33
"2014-09-15",2,"2014-08-14","2014-09-15",0.0837724333903916,33
"2014-09-15",3,"2014-08-14","2014-09-15",0.111814211458233,33
"2014-09-15",4,"2014-08-14","2014-09-15",0.0809646336783525,33
"2014-09-15",5,"2014-08-14","2014-09-15",0.108449557944016,33
"2014-09-15",6,"2014-08-14","2014-09-15",0.099142606669838,33
"2014-10-16",1,"2014-09-15","2014-10-16",0.196696922310755,32
"2014-10-16",2,"2014-09-15","2014-10-16",0.542721398695889,32
"2014-10-16",3,"2014-09-15","2014-10-16",0.500751891391855,32
"2014-10-16",4,"2014-09-15","2014-10-16",0.392468073749435,32
"2014-10-16",5,"2014-09-15","2014-10-16",0.399457887239865,32
"2014-10-16",6,"2014-09-15","2014-10-16",1.57646477751646,32
"2014-11-12",1,"2014-10-16","2014-11-12",0.227690418424153,28
"2014-11-12",2,"2014-10-16","2014-11-12",0.306724766801552,28
"2014-11-12",3,"2014-10-16","2014-11-12",0.349588909318642,28
"2014-11-12",4,"2014-10-16","2014-11-12",0.269083676211726,28
"2014-11-12",5,"2014-10-16","2014-11-12",0.407666201061258,28
"2014-11-12",6,"2014-10-16","2014-11-12",0.346978352841075,28
"2014-12-16",1,"2014-11-12","2014-12-16",0.216402761533995,35
"2014-12-16",2,"2014-11-12","2014-12-16",0.248209151486572,35
"2014-12-16",3,"2014-11-12","2014-12-16",0.222762629573767,35
"2014-12-16",4,"2014-11-12","2014-12-16",0.216493090655524,35
"2014-12-16",5,"2014-11-12","2014-12-16",0.307155552913078,35
"2014-12-16",6,"2014-11-12","2014-12-16",0.50409340040309,35
"2015-01-13",1,"2014-12-16","2015-01-13",0.305438796208212,29
"2015-01-13",2,"2014-12-16","2015-01-13",0.35676775940434,29
"2015-01-13",3,"2014-12-16","2015-01-13",0.755022762622436,29
"2015-01-13",4,"2014-12-16","2015-01-13",0.29712329657617,29
"2015-01-13",5,"2014-12-16","2015-01-13",0.636799383075723,29
"2015-01-13",6,"2014-12-16","2015-01-13",0.479720697028219,29
"2015-02-11",1,"2015-01-13","2015-02-11",0.497715916046215,30
"2015-02-11",2,"2015-01-13","2015-02-11",0.580654757880107,30
"2015-02-11",3,"2015-01-13","2015-02-11",0.672933593576277,30
"2015-02-11",4,"2015-01-13","2015-02-11",0.195645104223246,30
"2015-02-11",5,"2015-01-13","2015-02-11",0.4791620050529,30
"2015-02-11",6,"2015-01-13","2015-02-11",0.304151597300441,30
"2015-03-12",1,"2015-02-11","2015-03-12",0.817859340065489,30
"2015-03-12",2,"2015-02-11","2015-03-12",0.803080257097109,30
"2015-03-12",3,"2015-02-11","2015-03-12",0.667832451227202,30
"2015-03-12",4,"2015-02-11","2015-03-12",0.743935879581419,30
"2015-03-12",5,"2015-02-11","2015-03-12",0.895166256976368,30
"2015-03-12",6,"2015-02-11","2015-03-12",0.325573679270814,30
"2015-04-17",1,"2015-03-12","2015-04-17",0.12090753062254,37
"2015-04-17",2,"2015-03-12","2015-04-17",0.180188193065782,37
"2015-04-17",3,"2015-03-12","2015-04-17",0.159530155215641,37
"2015-04-17",4,"2015-03-12","2015-04-17",0.222492744647253,37
"2015-04-17",5,"2015-03-12","2015-04-17",0.165835015739733,37
"2015-04-17",6,"2015-03-12","2015-04-17",0.0767653217582982,37
"2015-06-09",1,"2015-04-17","2015-06-09",0.1408761801355,54
"2015-06-09",2,"2015-04-17","2015-06-09",0.184434808996494,54
"2015-06-09",3,"2015-04-17","2015-06-09",0.102816985345399,54
"2015-06-09",4,"2015-04-17","2015-06-09",0.118779109164713,54
"2015-06-09",5,"2015-04-17","2015-06-09",0.0946808979401435,54
"2015-06-09",6,"2015-04-17","2015-06-09",0.0774893489455996,54
"2015-08-24",1,"2015-06-09","2015-08-24",0.179515822441539,77
"2015-08-24",2,"2015-06-09","2015-08-24",0.172549270049728,77
"2015-08-24",3,"2015-06-09","2015-08-24",0.139831654723829,77
"2015-08-24",4,"2015-06-09","2015-08-24",0.257783777556964,77
"2015-08-24",5,"2015-06-09","2015-08-24",0.138899493396471,77
"2015-08-24",6,"2015-06-09","2015-08-24",0.208581522135204,77
"2015-09-11",1,"2015-08-24","2015-09-11",0.192822963063478,19
"2015-09-11",2,"2015-08-24","2015-09-11",0.185105090816391,19
"2015-09-11",3,"2015-08-24","2015-09-11",0.152483516681416,19
"2015-09-11",4,"2015-08-24","2015-09-11",0.15285563507542,19
"2015-09-11",5,"2015-08-24","2015-09-11",0.153408436239839,19
"2015-09-11",6,"2015-08-24","2015-09-11",0.149092773205964,19
"2015-10-16",1,"2015-09-11","2015-10-16",1.01556157563552,36
"2015-10-16",2,"2015-09-11","2015-10-16",1.19357782949116,36
"2015-10-16",3,"2015-09-11","2015-10-16",1.11211715076007,36
"2015-10-16",4,"2015-09-11","2015-10-16",0.81220409065402,36
"2015-10-16",5,"2015-09-11","2015-10-16",1.22730942985856,36
"2015-10-16",6,"2015-09-11","2015-10-16",2.23781199757788,36
"2015-11-23",1,"2015-10-16","2015-11-23",0.195797956743504,39
"2015-11-23",2,"2015-10-16","2015-11-23",0.372523018376471,39
"2015-11-23",3,"2015-10-16","2015-11-23",0.460342733096737,39
"2015-11-23",4,"2015-10-16","2015-11-23",0.351127960939669,39
"2015-11-23",5,"2015-10-16","2015-11-23",0.427981910553376,39
"2015-11-23",6,"2015-10-16","2015-11-23",0.202708897864252,39
"2015-12-17",1,"2015-11-23","2015-12-17",0.460036498330327,25
"2015-12-17",2,"2015-11-23","2015-12-17",0.630644667474536,25
"2015-12-17",3,"2015-11-23","2015-12-17",0.641343210648099,25
"2015-12-17",4,"2015-11-23","2015-12-17",0.6299522504533,25
"2015-12-17",5,"2015-11-23","2015-12-17",0.754653516153851,25
"2015-12-17",6,"2015-11-23","2015-12-17",0.431254042748337,25
"2016-01-20",1,"2015-12-17","2016-01-20",0.232584962783368,35
"2016-01-20",2,"2015-12-17","2016-01-20",0.309912880995804,35
"2016-01-20",3,"2015-12-17","2016-01-20",0.481269289892574,35
"2016-01-20",4,"2015-12-17","2016-01-20",0.202846207635353,35
"2016-01-20",5,"2015-12-17","2016-01-20",0.345472544982959,35
"2016-01-20",6,"2015-12-17","2016-01-20",0.184455447791358,35
"2016-02-22",1,"2016-01-20","2016-02-22",0.327626940737593,34
"2016-02-22",2,"2016-01-20","2016-02-22",0.570803309341924,34
"2016-02-22",3,"2016-01-20","2016-02-22",0.41687816639133,34
"2016-02-22",4,"2016-01-20","2016-02-22",0.711640436325477,34
"2016-02-22",5,"2016-01-20","2016-02-22",0.425699921302159,34
"2016-02-22",6,"2016-01-20","2016-02-22",0.336243273825246,34
"2016-03-10",1,"2016-02-22","2016-03-10",0.346268997457618,18
"2016-03-10",2,"2016-02-22","2016-03-10",0.458999450347994,18
"2016-03-10",3,"2016-02-22","2016-03-10",0.532093376368606,18
"2016-03-10",4,"2016-02-22","2016-03-10",0.576611998623279,18
"2016-03-10",5,"2016-02-22","2016-03-10",1.03554337223211,18
"2016-03-10",6,"2016-02-22","2016-03-10",0.475007596940936,18
"2016-04-05",1,"2016-03-10","2016-04-05",0.267885610821424,27
"2016-04-05",2,"2016-03-10","2016-04-05",0.364335334703936,27
"2016-04-05",3,"2016-03-10","2016-04-05",0.314217093675535,27
"2016-04-05",4,"2016-03-10","2016-04-05",0.374789866128689,27
"2016-04-05",5,"2016-03-10","2016-04-05",0.405977609595584,27
"2016-04-05",6,"2016-03-10","2016-04-05",0.601691241634344,27
"2016-05-13",1,"2016-04-05","2016-05-13",0.214853799218808,39
"2016-05-13",2,"2016-04-05","2016-05-13",0.29288387289359,39
"2016-05-13",3,"2016-04-05","2016-05-13",0.161927717410271,39
"2016-05-13",4,"2016-04-05","2016-05-13",0.198683862196658,39
"2016-05-13",5,"2016-04-05","2016-05-13",0.312651904571913,39
"2016-05-13",6,"2016-04-05","2016-05-13",0.237542847679654,39
"2016-06-28",1,"2016-05-13","2016-06-28",0.190586392508996,47
"2016-06-28",2,"2016-05-13","2016-06-28",0.287855037319403,47
"2016-06-28",3,"2016-05-13","2016-06-28",0.173567862705972,47
"2016-06-28",4,"2016-05-13","2016-06-28",0.337759171073918,47
"2016-06-28",5,"2016-05-13","2016-06-28",0.281027798323681,47
"2016-06-28",6,"2016-05-13","2016-06-28",0.254687148303989,47
"2016-07-26",1,"2016-06-28","2016-07-26",0.128347458349241,29
"2016-07-26",2,"2016-06-28","2016-07-26",0.166716539324171,29
"2016-07-26",3,"2016-06-28","2016-07-26",0.240251611158542,29
"2016-07-26",4,"2016-06-28","2016-07-26",0.251226031111263,29
"2016-07-26",5,"2016-06-28","2016-07-26",0.197104611073125,29
"2016-07-26",6,"2016-06-28","2016-07-26",0.188426845339876,29
"2016-08-30",1,"2016-07-26","2016-08-30",0.148626774611476,36
"2016-08-30",2,"2016-07-26","2016-08-30",0.128762514154736,36
"2016-08-30",3,"2016-07-26","2016-08-30",0.0836223237668134,36
"2016-08-30",4,"2016-07-26","2016-08-30",0.142384770114482,36
"2016-08-30",5,"2016-07-26","2016-08-30",0.133887566128482,36
"2016-08-30",6,"2016-07-26","2016-08-30",0.0873672130437195,36
"2016-09-13",1,"2016-08-30","2016-09-13",0.0995660307851487,15
"2016-09-13",2,"2016-08-30","2016-09-13",0.220882175873532,15
"2016-09-13",3,"2016-08-30","2016-09-13",0.150442852342144,15
"2016-09-13",4,"2016-08-30","2016-09-13",0.280545075734817,15
"2016-09-13",5,"2016-08-30","2016-09-13",0.294030807781052,15
"2016-09-13",6,"2016-08-30","2016-09-13",0.214656292124385,15
"2016-10-13",1,"2016-09-13","2016-10-13",0.428024497290345,31
"2016-10-13",2,"2016-09-13","2016-10-13",0.47834270903023,31
"2016-10-13",3,"2016-09-13","2016-10-13",0.695951446950692,31
"2016-10-13",4,"2016-09-13","2016-10-13",0.755889573641118,31
"2016-10-13",5,"2016-09-13","2016-10-13",0.812654487034471,31
"2016-10-13",6,"2016-09-13","2016-10-13",0.632140994876475,31
"2016-11-07",1,"2016-10-13","2016-11-07",0.382025548191679,26
"2016-11-07",2,"2016-10-13","2016-11-07",0.462339677718846,26
"2016-11-07",3,"2016-10-13","2016-11-07",0.661740461126495,26
"2016-11-07",4,"2016-10-13","2016-11-07",0.461360562978801,26
"2016-11-07",5,"2016-10-13","2016-11-07",0.715842426877138,26
"2016-11-07",6,"2016-10-13","2016-11-07",0.375774482107022,26
"2016-12-12",1,"2016-11-09","2016-12-12",0.523968859831216,34
"2016-12-12",2,"2016-11-09","2016-12-12",0.85432021688238,34
"2016-12-12",3,"2016-11-09","2016-12-12",0.597651379965722,34
"2016-12-12",4,"2016-11-09","2016-12-12",0.680618783267174,34
"2016-12-12",5,"2016-11-09","2016-12-12",0.611226964320121,34
"2016-12-12",6,"2016-11-09","2016-12-12",0.541388094615481,34
