"Date","Start_date","End_date","Ring","barklitter_p_flux_mg_m2_d","Days"
"2013-02-20",2013-01-08,2013-02-20,6,0.0247467595802438,43
"2013-03-14",2013-02-20,2013-03-14,1,0.0089476880987745,22
"2013-03-14",2013-02-20,2013-03-14,2,0.0149534506255072,22
"2013-03-14",2013-02-20,2013-03-14,3,0.0124414687552636,22
"2013-03-14",2013-02-20,2013-03-14,4,0.00297685036315657,22
"2013-03-14",2013-02-20,2013-03-14,5,0.0266684403407497,22
"2013-03-14",2013-02-20,2013-03-14,6,0.0317761368102449,22
"2013-04-09",2013-03-14,2013-04-09,1,0.00174667340407614,26
"2013-04-09",2013-03-14,2013-04-09,2,0.00334558807651278,26
"2013-04-09",2013-03-14,2013-04-09,3,0.0103680741806058,26
"2013-04-09",2013-03-14,2013-04-09,4,0.00547918745114298,26
"2013-04-09",2013-03-14,2013-04-09,5,0.0170465852994908,26
"2013-04-09",2013-03-14,2013-04-09,6,0.00115508782385993,26
"2013-05-13",2013-04-09,2013-05-13,1,0.0182290438493067,34
"2013-05-13",2013-04-09,2013-05-13,2,0.00463575880074111,34
"2013-05-13",2013-04-09,2013-05-13,3,0.00687580708550895,34
"2013-05-13",2013-04-09,2013-05-13,4,0.0256373870080287,34
"2013-05-13",2013-04-09,2013-05-13,5,0.00061226208522823,34
"2013-05-13",2013-04-09,2013-05-13,6,0.010456038403234,34
"2013-06-14",2013-05-13,2013-06-14,1,0.0285222878417832,32
"2013-06-14",2013-05-13,2013-06-14,2,0.00118547702262647,32
"2013-06-14",2013-05-13,2013-06-14,3,0.00511236033911628,32
"2013-06-14",2013-05-13,2013-06-14,4,0.005272233451238,32
"2013-06-14",2013-05-13,2013-06-14,5,0.00569354085958115,32
"2013-06-14",2013-05-13,2013-06-14,6,0.00340968186794678,32
"2013-07-08",2013-06-14,2013-07-08,1,0.00452854509385586,24
"2013-07-08",2013-06-14,2013-07-08,2,0.000879898658132616,24
"2013-07-08",2013-06-14,2013-07-08,3,0.00180752063331649,24
"2013-07-08",2013-06-14,2013-07-08,4,0.0355220556584881,24
"2013-07-08",2013-06-14,2013-07-08,5,0.00124518088072914,24
"2013-07-08",2013-06-14,2013-07-08,6,0.00387771835756929,24
"2013-08-15",2013-07-08,2013-08-15,1,0.0170949945184673,38
"2013-08-15",2013-07-08,2013-08-15,2,0.0122172947527991,38
"2013-08-15",2013-07-08,2013-08-15,3,0.00413623012390332,38
"2013-08-15",2013-07-08,2013-08-15,4,0.0319492537137015,38
"2013-08-15",2013-07-08,2013-08-15,5,0.0133320109689754,38
"2013-08-15",2013-07-08,2013-08-15,6,0.00694612879681096,38
"2013-09-10",2013-08-15,2013-09-10,1,0.0239565545060745,26
"2013-09-10",2013-08-15,2013-09-10,2,0.0506232427670022,26
"2013-09-10",2013-08-15,2013-09-10,3,0.0153107414173609,26
"2013-09-10",2013-08-15,2013-09-10,4,0.0233699248087829,26
"2013-09-10",2013-08-15,2013-09-10,5,0.00927245695184049,26
"2013-09-10",2013-08-15,2013-09-10,6,0.0106784592926584,26
"2013-10-09",2013-09-10,2013-10-09,1,0.00715158590487475,29
"2013-10-09",2013-09-10,2013-10-09,2,0.00545658533374378,29
"2013-10-09",2013-09-10,2013-10-09,3,0.0100529990184291,29
"2013-10-09",2013-09-10,2013-10-09,4,0.00394589550432801,29
"2013-10-09",2013-09-10,2013-10-09,5,0.00690408290885717,29
"2013-10-09",2013-09-10,2013-10-09,6,0.0272561028732729,29
"2013-11-11",2013-10-09,2013-11-11,1,0.00819872125329427,33
"2013-11-11",2013-10-09,2013-11-11,2,0.0153559172659728,33
"2013-11-11",2013-10-09,2013-11-11,3,0.00187480327955316,33
"2013-11-11",2013-10-09,2013-11-11,4,0.00661127018883461,33
"2013-11-11",2013-10-09,2013-11-11,5,0.00389321035859692,33
"2013-11-11",2013-10-09,2013-11-11,6,0.0200061929723374,33
"2013-12-12",2013-11-11,2013-12-12,1,0.00691603231783187,31
"2013-12-12",2013-11-11,2013-12-12,2,0.0159603706299659,31
"2013-12-12",2013-11-11,2013-12-12,3,0.0140897705477405,31
"2013-12-12",2013-11-11,2013-12-12,4,0.0233896595253749,31
"2013-12-12",2013-11-11,2013-12-12,5,0.026738758759085,31
"2013-12-12",2013-11-11,2013-12-12,6,0.0487419789510288,31
"2014-01-14",2013-12-12,2014-01-14,1,0.0218724639012663,33
"2014-01-14",2013-12-12,2014-01-14,2,0.0278079429974327,33
"2014-01-14",2013-12-12,2014-01-14,3,0.0805514637702612,33
"2014-01-14",2013-12-12,2014-01-14,4,0.118404152694198,33
"2014-01-14",2013-12-12,2014-01-14,5,0.078435585431543,33
"2014-01-14",2013-12-12,2014-01-14,6,0.066672655475081,33
"2014-02-26",2014-01-14,2014-02-26,1,0.0172468738289508,43
"2014-02-26",2014-01-14,2014-02-26,2,0.0365808103954573,43
"2014-02-26",2014-01-14,2014-02-26,3,0.0296122072458488,43
"2014-02-26",2014-01-14,2014-02-26,4,0.0484417194495694,43
"2014-02-26",2014-01-14,2014-02-26,5,0.0545386506640135,43
"2014-02-26",2014-01-14,2014-02-26,6,0.044369255738223,43
"2014-03-13",2014-02-26,2014-03-13,1,0.0127535792487788,15
"2014-03-13",2014-02-26,2014-03-13,2,0.00639746972844497,15
"2014-03-13",2014-02-26,2014-03-13,3,0.0138248086388561,15
"2014-03-13",2014-02-26,2014-03-13,4,0.0258176782138379,15
"2014-03-13",2014-02-26,2014-03-13,5,0.0331953848745158,15
"2014-03-13",2014-02-26,2014-03-13,6,0.019728501113544,15
"2014-04-14",2014-03-13,2014-04-14,1,0.0356510435465242,32
"2014-04-14",2014-03-13,2014-04-14,2,0.010112104835144,32
"2014-04-14",2014-03-13,2014-04-14,3,0.00365368596829206,32
"2014-04-14",2014-03-13,2014-04-14,4,0.0164102963933805,32
"2014-04-14",2014-03-13,2014-04-14,5,0.0189289690184436,32
"2014-04-14",2014-03-13,2014-04-14,6,0.0117430678372916,32
"2014-05-07",2014-04-14,2014-05-07,1,0.00706216907968451,23
"2014-05-07",2014-04-14,2014-05-07,2,0.0115941983215063,23
"2014-05-07",2014-04-14,2014-05-07,3,0.00428739536876332,23
"2014-05-07",2014-04-14,2014-05-07,4,0.00485509534899049,23
"2014-05-07",2014-04-14,2014-05-07,5,0.00890812773249555,23
"2014-05-07",2014-04-14,2014-05-07,6,0.0258315162466771,23
"2014-06-12",2014-05-07,2014-06-12,1,0.00265595172926843,36
"2014-06-12",2014-05-07,2014-06-12,2,0.00252322125371961,36
"2014-06-12",2014-05-07,2014-06-12,3,0.00167672891752288,36
"2014-06-12",2014-05-07,2014-06-12,4,0.00954779525293358,36
"2014-06-12",2014-05-07,2014-06-12,5,0.00119278465554994,36
"2014-06-12",2014-05-07,2014-06-12,6,0.0186287968109596,36
"2014-07-03",2014-06-12,2014-07-03,1,0.0289576565846146,21
"2014-07-03",2014-06-12,2014-07-03,2,0.035579266825477,21
"2014-07-03",2014-06-12,2014-07-03,3,0.0293298984576145,21
"2014-07-03",2014-06-12,2014-07-03,4,0.0218804591063307,21
"2014-07-03",2014-06-12,2014-07-03,5,0.051184024519358,21
"2014-07-03",2014-06-12,2014-07-03,6,0.0241801264467383,21
"2014-08-14",2014-07-03,2014-08-14,1,0.00460316959022114,42
"2014-08-14",2014-07-03,2014-08-14,2,0.0106891708173921,42
"2014-08-14",2014-07-03,2014-08-14,3,0.0118774814119685,42
"2014-08-14",2014-07-03,2014-08-14,4,0.00185878058904208,42
"2014-08-14",2014-07-03,2014-08-14,5,0.00741160157847879,42
"2014-08-14",2014-07-03,2014-08-14,6,0.00951504938761761,42
"2014-09-15",2014-08-14,2014-09-15,1,0.00980742128284488,32
"2014-09-15",2014-08-14,2014-09-15,2,0.0279736747568217,32
"2014-09-15",2014-08-14,2014-09-15,3,0.0059040827122284,32
"2014-09-15",2014-08-14,2014-09-15,4,0.000931331717407782,32
"2014-09-15",2014-08-14,2014-09-15,5,0.00792680567837292,32
"2014-09-15",2014-08-14,2014-09-15,6,0.00692517527791815,32
"2014-10-16",2014-09-15,2014-10-16,1,0.0101856183474873,31
"2014-10-16",2014-09-15,2014-10-16,2,0.00307774984107321,31
"2014-10-16",2014-09-15,2014-10-16,3,0.00609389371814188,31
"2014-10-16",2014-09-15,2014-10-16,4,0.0207252359451663,31
"2014-10-16",2014-09-15,2014-10-16,5,0.00784704110906453,31
"2014-10-16",2014-09-15,2014-10-16,6,0.00423638730867659,31
"2014-11-12",2014-10-16,2014-11-12,1,0.00140048050830012,27
"2014-11-12",2014-10-16,2014-11-12,2,0.00171465901222091,27
"2014-11-12",2014-10-16,2014-11-12,3,0.00147982052289783,27
"2014-11-12",2014-10-16,2014-11-12,4,0.0141720355398349,27
"2014-11-12",2014-10-16,2014-11-12,5,0.0168467854268764,27
"2014-11-12",2014-10-16,2014-11-12,6,0.0103766399041791,27
"2014-12-16",2014-11-12,2014-12-16,1,0.0157142180394138,34
"2014-12-16",2014-11-12,2014-12-16,2,0.00843086786255686,34
"2014-12-16",2014-11-12,2014-12-16,3,0.0341168203638202,34
"2014-12-16",2014-11-12,2014-12-16,4,0.0140170224861041,34
"2014-12-16",2014-11-12,2014-12-16,5,0.0102982882769075,34
"2014-12-16",2014-11-12,2014-12-16,6,0.00794545856493179,34
"2015-01-13",2014-12-16,2015-01-13,1,0.0362479471955532,28
"2015-01-13",2014-12-16,2015-01-13,2,0.0659125054139898,28
"2015-01-13",2014-12-16,2015-01-13,3,0.0459960951598931,28
"2015-01-13",2014-12-16,2015-01-13,4,0.0572979566700355,28
"2015-01-13",2014-12-16,2015-01-13,5,0.0451157917057678,28
"2015-01-13",2014-12-16,2015-01-13,6,0.013105227658269,28
"2015-02-11",2015-01-13,2015-02-11,1,0.0234786377655033,29
"2015-02-11",2015-01-13,2015-02-11,2,0.0350865118224111,29
"2015-02-11",2015-01-13,2015-02-11,3,0.0296010045129027,29
"2015-02-11",2015-01-13,2015-02-11,4,0.0282847049188898,29
"2015-02-11",2015-01-13,2015-02-11,5,0.0737090745935774,29
"2015-02-11",2015-01-13,2015-02-11,6,0.0104433839800666,29
"2015-03-12",2015-02-11,2015-03-12,1,0.0640974956874771,29
"2015-03-12",2015-02-11,2015-03-12,2,0.0517890762488892,29
"2015-03-12",2015-02-11,2015-03-12,3,0.114537159883207,29
"2015-03-12",2015-02-11,2015-03-12,4,0.0431574092627763,29
"2015-03-12",2015-02-11,2015-03-12,5,0.063175345437438,29
"2015-03-12",2015-02-11,2015-03-12,6,0.020518907581328,29
"2015-04-17",2015-03-12,2015-04-17,1,0.162239890376733,36
"2015-04-17",2015-03-12,2015-04-17,2,0.0226790150749536,36
"2015-04-17",2015-03-12,2015-04-17,3,0.0199856303688732,36
"2015-04-17",2015-03-12,2015-04-17,4,0.0075790592892033,36
"2015-04-17",2015-03-12,2015-04-17,5,0.0476807069467505,36
"2015-04-17",2015-03-12,2015-04-17,6,0.0422515404806018,36
"2015-06-09",2015-04-17,2015-06-09,1,0.00491302544643283,53
"2015-06-09",2015-04-17,2015-06-09,2,0.00421507193455815,53
"2015-06-09",2015-04-17,2015-06-09,3,0.00328818156682906,53
"2015-06-09",2015-04-17,2015-06-09,4,0.00512980636303831,53
"2015-06-09",2015-04-17,2015-06-09,5,0.00166029870241307,53
"2015-06-09",2015-04-17,2015-06-09,6,0.00167144164672457,53
"2015-08-24",2015-06-09,2015-08-24,1,0.0137542053402835,76
"2015-08-24",2015-06-09,2015-08-24,2,0.00175759953192734,76
"2015-08-24",2015-06-09,2015-08-24,3,0.000849836108082232,76
"2015-08-24",2015-06-09,2015-08-24,4,0.000666164131273104,76
"2015-08-24",2015-06-09,2015-08-24,5,0.00979395494800671,76
"2015-08-24",2015-06-09,2015-08-24,6,0.0150469734847478,76
"2015-09-11",2015-08-24,2015-09-11,1,0.00746869911852226,18
"2015-09-11",2015-08-24,2015-09-11,2,0.0116057141654034,18
"2015-09-11",2015-08-24,2015-09-11,3,0.0442574111504126,18
"2015-09-11",2015-08-24,2015-09-11,4,4.77233170512604e-05,18
"2015-09-11",2015-08-24,2015-09-11,5,0.0177590393577003,18
"2015-09-11",2015-08-24,2015-09-11,6,0.0147703666273651,18
"2015-10-16",2015-09-11,2015-10-16,1,0.00323206164729661,35
"2015-10-16",2015-09-11,2015-10-16,2,0.0265237674150004,35
"2015-10-16",2015-09-11,2015-10-16,3,0.00252797228037249,35
"2015-10-16",2015-09-11,2015-10-16,4,0.00113820111167256,35
"2015-10-16",2015-09-11,2015-10-16,5,0.0271480906662816,35
"2015-10-16",2015-09-11,2015-10-16,6,0.0353317873384827,35
"2015-11-23",2015-10-16,2015-11-23,1,0.0169062990346001,38
"2015-11-23",2015-10-16,2015-11-23,2,0.00292744873806548,38
"2015-11-23",2015-10-16,2015-11-23,3,0.00167847929576341,38
"2015-11-23",2015-10-16,2015-11-23,4,0.03219769753464,38
"2015-11-23",2015-10-16,2015-11-23,5,0.00352085050929496,38
"2015-11-23",2015-10-16,2015-11-23,6,0.00455789074758651,38
"2015-12-17",2015-11-23,2015-12-17,1,0.0129255621526023,24
"2015-12-17",2015-11-23,2015-12-17,2,0.00781394749031498,24
"2015-12-17",2015-11-23,2015-12-17,3,0.0103865325501095,24
"2015-12-17",2015-11-23,2015-12-17,4,0.0289628337123126,24
"2015-12-17",2015-11-23,2015-12-17,5,0.0352667856240526,24
"2015-12-17",2015-11-23,2015-12-17,6,0.0513957754337208,24
"2016-01-20",2015-12-17,2016-01-20,1,0.0111593607882769,34
"2016-01-20",2015-12-17,2016-01-20,2,0.00881916371905002,34
"2016-01-20",2015-12-17,2016-01-20,3,0.0282497473471451,34
"2016-01-20",2015-12-17,2016-01-20,4,0.0100618999494694,34
"2016-01-20",2015-12-17,2016-01-20,5,0.0170382769075291,34
"2016-01-20",2015-12-17,2016-01-20,6,0.0550104219302677,34
"2016-02-22",2016-01-20,2016-02-22,1,0.0106873114673772,33
"2016-02-22",2016-01-20,2016-02-22,2,0.00774419281240909,33
"2016-02-22",2016-01-20,2016-02-22,3,0.0475470661644234,33
"2016-02-22",2016-01-20,2016-02-22,4,0.0103114903455985,33
"2016-02-22",2016-01-20,2016-02-22,5,0.0133603595326688,33
"2016-02-22",2016-01-20,2016-02-22,6,0.0146179773990537,33
"2016-03-10",2016-02-22,2016-03-10,1,0.011460965133906,17
"2016-03-10",2016-02-22,2016-03-10,2,0.0199974734714503,17
"2016-03-10",2016-02-22,2016-03-10,3,0.02505684689237,17
"2016-03-10",2016-02-22,2016-03-10,4,0.012105229914098,17
"2016-03-10",2016-02-22,2016-03-10,5,0.0228808741788782,17
"2016-03-10",2016-02-22,2016-03-10,6,0.0177488630621526,17
"2016-04-05",2016-03-10,2016-04-05,1,0.031525610253819,26
"2016-04-05",2016-03-10,2016-04-05,2,0.0140396033350177,26
"2016-04-05",2016-03-10,2016-04-05,3,0.0110949828973452,26
"2016-04-05",2016-03-10,2016-04-05,4,0.00270715104753761,26
"2016-04-05",2016-03-10,2016-04-05,5,0.0251387161348,26
"2016-04-05",2016-03-10,2016-04-05,6,0.00761347514284603,26
"2016-05-13",2016-04-05,2016-05-13,1,0.0128711669902396,38
"2016-05-13",2016-04-05,2016-05-13,2,0.00602161511661924,38
"2016-05-13",2016-04-05,2016-05-13,3,0.009618760139358,38
"2016-05-13",2016-04-05,2016-05-13,4,0.00695834219834579,38
"2016-05-13",2016-04-05,2016-05-13,5,0.00889396226164197,38
"2016-05-13",2016-04-05,2016-05-13,6,0.0198266834658652,38
"2016-06-28",2016-05-13,2016-06-28,1,0.00835560065470044,46
"2016-06-28",2016-05-13,2016-06-28,2,0.000678112024078916,46
"2016-06-28",2016-05-13,2016-06-28,3,0.0109921842388558,46
"2016-06-28",2016-05-13,2016-06-28,4,0.0172387514555001,46
"2016-06-28",2016-05-13,2016-06-28,5,0.00712659555770371,46
"2016-06-28",2016-05-13,2016-06-28,6,0.0328458323263835,46
"2016-07-26",2016-06-28,2016-07-26,1,0.0391902175220771,28
"2016-07-26",2016-06-28,2016-07-26,2,0.0224594208577822,28
"2016-07-26",2016-06-28,2016-07-26,3,0.0308039098029309,28
"2016-07-26",2016-06-28,2016-07-26,4,0.0524212941240165,28
"2016-07-26",2016-06-28,2016-07-26,5,0.00568141828484805,28
"2016-07-26",2016-06-28,2016-07-26,6,0.019308768858731,28
"2016-08-30",2016-07-26,2016-08-30,1,0.0387463906735003,35
"2016-08-30",2016-07-26,2016-08-30,2,0.0103660888306813,35
"2016-08-30",2016-07-26,2016-08-30,3,6.59604417815636e-05,35
"2016-08-30",2016-07-26,2016-08-30,4,0.0139759438388797,35
"2016-08-30",2016-07-26,2016-08-30,5,0.00245587598354147,35
"2016-08-30",2016-07-26,2016-08-30,6,0.0115139320002887,35
"2016-09-13",2016-08-30,2016-09-13,1,0.138022224427922,14
"2016-09-13",2016-08-30,2016-09-13,2,0.0160759402295532,14
"2016-09-13",2016-08-30,2016-09-13,3,0.00327501263264275,14
"2016-09-13",2016-08-30,2016-09-13,4,0.000360481484155057,14
"2016-09-13",2016-08-30,2016-09-13,5,0.00265759221829206,14
"2016-09-13",2016-08-30,2016-09-13,6,0.0386635566303328,14
"2016-10-13",2016-09-13,2016-10-13,1,0.00546014401212733,30
"2016-10-13",2016-09-13,2016-10-13,2,0.000495725955869967,30
"2016-10-13",2016-09-13,2016-10-13,3,0.000901970692268823,30
"2016-10-13",2016-09-13,2016-10-13,4,0.000109167087754758,30
"2016-10-13",2016-09-13,2016-10-13,5,0.0503296067037225,30
"2016-10-13",2016-09-13,2016-10-13,6,0.0160575326644048,30
"2016-11-07",2016-10-13,2016-11-07,1,0.000219050025265285,25
"2016-11-07",2016-10-13,2016-11-07,2,0.00143456291056089,25
"2016-11-07",2016-10-13,2016-11-07,3,0.000363651675930605,25
"2016-11-07",2016-10-13,2016-11-07,4,0.00183185952501263,25
"2016-11-07",2016-10-13,2016-11-07,5,0.0148696311268317,25
"2016-11-07",2016-10-13,2016-11-07,6,0.00262860030318343,25
"2016-12-12",2016-11-09,2016-12-12,1,0.00181240142710583,33
"2016-12-12",2016-11-09,2016-12-12,2,0.00724743646673914,33
"2016-12-12",2016-11-09,2016-12-12,3,0.00401526635735833,33
"2016-12-12",2016-11-09,2016-12-12,4,0.00432601022861255,33
"2016-12-12",2016-11-09,2016-12-12,5,0.00544696586889613,33
"2016-12-12",2016-11-09,2016-12-12,6,0.00753529888029086,33
