"Date","Ring","lai_variable"
"2013-01-13",3,1.5758
"2013-01-13",4,1.3957
"2013-01-13",5,1.6495
"2013-01-13",6,1.593
"2013-01-19",1,1.2467
"2013-01-19",2,1.3187
"2013-01-19",3,1.4975
"2013-01-19",4,1.3497
"2013-01-19",5,1.7383
"2013-01-19",6,1.6405
"2013-01-20",1,1.2426
"2013-01-20",2,1.3303
"2013-01-20",3,1.5461
"2013-01-20",4,1.3778
"2013-01-20",5,1.7241
"2013-01-20",6,1.6097
"2013-01-21",1,1.2362
"2013-01-21",2,1.3027
"2013-01-21",3,1.5402
"2013-01-21",4,1.3739
"2013-01-21",5,1.7325
"2013-01-21",6,1.6036
"2013-01-23",1,1.2243
"2013-01-23",2,1.3
"2013-01-23",3,1.5156
"2013-01-23",4,1.3655
"2013-01-23",5,1.7114
"2013-01-23",6,1.586
"2013-01-27",1,1.2632
"2013-01-27",2,1.3483
"2013-01-27",3,1.6397
"2013-01-27",4,1.3873
"2013-01-27",5,1.7456
"2013-01-27",6,1.6137
"2013-01-28",1,1.2709
"2013-01-28",2,1.3503
"2013-01-28",3,1.6617
"2013-01-28",4,1.3941
"2013-01-28",5,1.8378
"2013-01-28",6,1.6121
"2013-02-01",1,1.2742
"2013-02-01",2,1.3574
"2013-02-01",3,1.572
"2013-02-01",4,1.3729
"2013-02-01",5,1.8301
"2013-02-01",6,1.6646
"2013-02-02",1,1.2877
"2013-02-02",2,1.438
"2013-02-02",3,1.6693
"2013-02-02",4,1.4098
"2013-02-02",5,1.8057
"2013-02-02",6,1.7244
"2013-02-09",1,1.3108
"2013-02-09",2,1.4486
"2013-02-09",3,1.6446
"2013-02-09",4,1.3888
"2013-02-09",5,1.8408
"2013-02-09",6,1.6892
"2013-02-11",1,1.3516
"2013-02-11",2,1.4993
"2013-02-11",3,1.6351
"2013-02-11",4,1.4087
"2013-02-11",5,1.8758
"2013-02-11",6,1.8026
"2013-02-12",1,1.3987
"2013-02-12",2,1.5327
"2013-02-12",3,1.6322
"2013-02-12",4,1.4532
"2013-02-12",5,1.9207
"2013-02-12",6,1.8625
"2013-02-16",1,1.4857
"2013-02-16",2,1.5752
"2013-02-16",3,1.6494
"2013-02-16",4,1.4943
"2013-02-16",5,1.9802
"2013-02-16",6,1.898
"2013-02-23",1,1.5262
"2013-02-23",2,1.5897
"2013-02-23",3,1.6446
"2013-02-23",4,1.5573
"2013-02-23",5,1.9419
"2013-02-23",6,1.8114
"2013-02-26",1,1.544
"2013-02-26",2,1.615
"2013-02-26",3,1.6222
"2013-02-26",4,1.5759
"2013-02-26",5,1.9826
"2013-02-26",6,1.8872
"2013-02-28",1,1.6005
"2013-02-28",2,1.6159
"2013-02-28",3,1.5866
"2013-02-28",4,1.5667
"2013-02-28",5,1.9472
"2013-02-28",6,1.8337
"2013-03-01",1,1.6083
"2013-03-01",2,1.6504
"2013-03-01",3,1.7153
"2013-03-01",4,1.5531
"2013-03-01",5,1.9324
"2013-03-01",6,1.8531
"2013-03-02",1,1.6453
"2013-03-02",2,1.6609
"2013-03-02",3,1.6373
"2013-03-02",4,1.5659
"2013-03-02",5,1.9461
"2013-03-02",6,1.9111
"2013-03-11",1,1.6987
"2013-03-11",2,1.7012
"2013-03-11",3,1.7086
"2013-03-11",4,1.6474
"2013-03-11",5,2.0167
"2013-03-11",6,1.9866
"2013-03-15",1,1.6855
"2013-03-15",2,1.686
"2013-03-15",3,1.6524
"2013-03-15",4,1.578
"2013-03-15",5,1.9983
"2013-03-15",6,1.9002
"2013-03-21",1,1.682
"2013-03-21",2,1.6943
"2013-03-21",3,1.6869
"2013-03-21",4,1.6055
"2013-03-21",5,2.0456
"2013-03-21",6,1.9073
"2013-04-03",1,1.4857
"2013-04-03",2,1.6144
"2013-04-03",3,1.6381
"2013-04-03",4,1.5576
"2013-04-03",5,1.9952
"2013-04-03",6,1.7108
"2013-04-04",1,1.511
"2013-04-04",2,1.6238
"2013-04-04",3,1.6361
"2013-04-04",4,1.5708
"2013-04-04",5,2.0094
"2013-04-04",6,1.7315
"2013-04-06",1,1.641
"2013-04-06",2,1.665
"2013-04-06",3,1.7019
"2013-04-06",4,1.6898
"2013-04-06",5,2.1003
"2013-04-06",6,1.8121
"2013-04-15",1,1.7805
"2013-04-15",2,1.8111
"2013-04-15",3,1.8034
"2013-04-15",4,1.6894
"2013-04-15",5,2.2361
"2013-04-15",6,1.9774
"2013-04-16",1,1.6575
"2013-04-16",2,1.6824
"2013-04-16",3,1.6151
"2013-04-16",4,1.4046
"2013-04-16",5,2.045
"2013-04-16",6,1.8288
"2013-04-20",1,1.7794
"2013-04-20",2,1.7323
"2013-04-20",3,1.7143
"2013-04-20",4,1.4523
"2013-04-20",5,2.1131
"2013-04-20",6,1.8619
"2013-05-12",1,1.5082
"2013-05-12",2,1.6717
"2013-05-12",3,1.7116
"2013-05-12",4,1.5917
"2013-05-12",5,2.0453
"2013-05-12",6,1.7957
"2013-05-13",1,1.4478
"2013-05-13",2,1.5993
"2013-05-13",3,1.6103
"2013-05-13",4,1.524
"2013-05-13",5,1.9519
"2013-05-13",6,1.7206
"2013-05-22",1,1.4756
"2013-05-22",2,1.5551
"2013-05-22",3,1.6713
"2013-05-22",4,1.5232
"2013-05-22",5,1.934
"2013-05-22",6,1.6768
"2013-05-23",1,1.6345
"2013-05-23",2,1.6097
"2013-05-23",3,1.7073
"2013-05-23",4,1.5565
"2013-05-23",5,1.9885
"2013-05-23",6,1.744
"2013-05-27",1,1.6401
"2013-05-27",2,1.613
"2013-05-27",3,1.6712
"2013-05-27",4,1.5273
"2013-05-27",5,1.9875
"2013-05-27",6,1.8
"2013-05-29",1,1.7274
"2013-05-29",2,1.6084
"2013-05-29",3,1.6864
"2013-05-29",4,1.518
"2013-05-29",5,1.9425
"2013-05-29",6,1.8225
"2013-06-01",1,1.7522
"2013-06-01",2,1.6598
"2013-06-01",3,1.6918
"2013-06-01",4,1.5614
"2013-06-01",5,1.9781
"2013-06-01",6,1.8717
"2013-06-02",1,1.7299
"2013-06-02",2,1.6289
"2013-06-02",3,1.7086
"2013-06-02",4,1.5292
"2013-06-02",5,1.924
"2013-06-02",6,1.8187
"2013-06-06",1,1.7015
"2013-06-06",2,1.6455
"2013-06-06",3,1.691
"2013-06-06",4,1.5656
"2013-06-06",5,1.9685
"2013-06-06",6,1.8982
"2013-06-12",1,1.8181
"2013-06-12",2,1.72
"2013-06-12",3,1.801
"2013-06-12",4,1.6132
"2013-06-12",5,2.0367
"2013-06-12",6,1.9432
"2013-06-30",1,1.6848
"2013-06-30",2,1.6507
"2013-06-30",3,1.7738
"2013-06-30",4,1.5959
"2013-06-30",5,1.9876
"2013-06-30",6,1.9589
"2013-07-13",1,1.7642
"2013-07-13",2,1.7643
"2013-07-13",3,1.8246
"2013-07-13",4,1.6528
"2013-07-13",5,2.0555
"2013-07-13",6,2.0085
"2013-07-15",1,1.736
"2013-07-15",2,1.6296
"2013-07-15",3,1.7008
"2013-07-15",4,1.518
"2013-07-15",5,1.8986
"2013-07-15",6,1.8498
"2013-07-30",1,1.7073
"2013-07-30",2,1.6779
"2013-07-30",3,1.7384
"2013-07-30",4,1.6296
"2013-07-30",5,2.0121
"2013-07-30",6,1.7953
"2013-08-08",1,1.5262
"2013-08-08",2,1.6046
"2013-08-08",3,1.5668
"2013-08-08",4,1.4923
"2013-08-08",5,1.8337
"2013-08-08",6,1.6722
"2013-09-08",1,1.2897
"2013-09-08",2,1.3828
"2013-09-08",3,1.5259
"2013-09-08",4,1.3039
"2013-09-08",5,1.7341
"2013-09-08",6,1.4577
"2013-09-09",1,1.318
"2013-09-09",2,1.3814
"2013-09-09",3,1.519
"2013-09-09",4,1.3716
"2013-09-09",5,1.7572
"2013-09-09",6,1.5419
"2013-09-24",1,1.2424
"2013-09-24",2,1.2935
"2013-09-24",3,1.5247
"2013-09-24",4,1.3482
"2013-09-24",5,1.7268
"2013-09-24",6,1.4039
"2013-10-01",1,1.1954
"2013-10-01",2,1.281
"2013-10-01",3,1.4907
"2013-10-01",4,1.2614
"2013-10-01",5,1.655
"2013-10-01",6,1.3869
"2013-10-22",1,1.1131
"2013-10-22",2,1.1177
"2013-10-22",3,1.2268
"2013-10-22",4,1.0481
"2013-10-22",5,1.4298
"2013-10-22",6,1.285
"2013-11-05",1,1.0824
"2013-11-05",2,1.0837
"2013-11-05",3,1.249
"2013-11-05",4,1.0159
"2013-11-05",5,1.3825
"2013-11-05",6,1.2089
"2013-11-10",1,1.1003
"2013-11-10",2,1.0973
"2013-11-10",3,1.2529
"2013-11-10",4,1.0195
"2013-11-10",5,1.387
"2013-11-10",6,1.2407
"2013-11-11",1,1.1348
"2013-11-11",2,1.1405
"2013-11-11",3,1.2729
"2013-11-11",4,1.049
"2013-11-11",5,1.4427
"2013-11-11",6,1.2667
"2013-11-16",1,1.1073
"2013-11-16",2,1.1943
"2013-11-16",3,1.2968
"2013-11-16",4,1.1027
"2013-11-16",5,1.5864
"2013-11-16",6,1.3462
"2013-11-17",1,1.0709
"2013-11-17",2,1.1863
"2013-11-17",3,1.2966
"2013-11-17",4,1.0732
"2013-11-17",5,1.5355
"2013-11-17",6,1.3314
"2013-11-18",1,1.078
"2013-11-18",2,1.2101
"2013-11-18",3,1.301
"2013-11-18",4,1.0813
"2013-11-18",5,1.5614
"2013-11-18",6,1.3601
"2013-11-23",1,1.2002
"2013-11-23",2,1.334
"2013-11-23",3,1.4275
"2013-11-23",4,1.1707
"2013-11-23",5,1.6585
"2013-11-23",6,1.4101
"2013-12-09",1,1.0833
"2013-12-09",2,1.1929
"2013-12-09",3,1.2998
"2013-12-09",4,1.1183
"2013-12-09",5,1.6391
"2013-12-09",6,1.2783
"2013-12-14",1,1.091
"2013-12-14",2,1.2288
"2013-12-14",3,1.2657
"2013-12-14",4,1.0618
"2013-12-14",5,1.5352
"2013-12-14",6,1.375
"2013-12-22",1,1.2142
"2013-12-22",2,1.3461
"2013-12-22",3,1.4634
"2013-12-22",4,1.2372
"2013-12-22",5,1.6727
"2013-12-22",6,1.484
"2013-12-23",1,1.218
"2013-12-23",2,1.3009
"2013-12-23",3,1.3717
"2013-12-23",4,1.2315
"2013-12-23",5,1.7066
"2013-12-23",6,1.4664
"2013-12-24",1,1.251
"2013-12-24",2,1.3245
"2013-12-24",3,1.4053
"2013-12-24",4,1.2623
"2013-12-24",5,1.7231
"2013-12-24",6,1.4833
"2013-12-25",1,1.2811
"2013-12-25",2,1.3339
"2013-12-25",3,1.4454
"2013-12-25",4,1.2881
"2013-12-25",5,1.7445
"2013-12-25",6,1.4973
"2014-01-02",1,1.4779
"2014-01-02",2,1.4963
"2014-01-02",3,1.4821
"2014-01-02",4,1.4847
"2014-01-02",5,1.8596
"2014-01-02",6,1.6265
"2014-01-03",1,1.5057
"2014-01-03",2,1.531
"2014-01-03",3,1.5588
"2014-01-03",4,1.4919
"2014-01-03",5,1.9097
"2014-01-03",6,1.6678
"2014-01-07",1,1.5527
"2014-01-07",2,1.5844
"2014-01-07",3,1.5892
"2014-01-07",4,1.504
"2014-01-07",5,1.8927
"2014-01-07",6,1.6896
"2014-01-08",1,1.5736
"2014-01-08",2,1.6654
"2014-01-08",3,1.6356
"2014-01-08",4,1.5554
"2014-01-08",5,1.9832
"2014-01-08",6,1.7628
"2014-01-09",1,1.593
"2014-01-09",2,1.6755
"2014-01-09",3,1.6496
"2014-01-09",4,1.5912
"2014-01-09",5,2.0177
"2014-01-09",6,1.7666
"2014-01-10",1,1.5714
"2014-01-10",2,1.6872
"2014-01-10",3,1.6576
"2014-01-10",4,1.6022
"2014-01-10",5,1.9938
"2014-01-10",6,1.7304
"2014-01-21",1,1.7437
"2014-01-21",2,1.8724
"2014-01-21",3,1.6931
"2014-01-21",4,1.7091
"2014-01-21",5,2.0856
"2014-01-21",6,1.8542
"2014-01-22",1,1.7575
"2014-01-22",2,1.9034
"2014-01-22",3,1.7014
"2014-01-22",4,1.7373
"2014-01-22",5,2.1466
"2014-01-22",6,1.8935
"2014-01-23",1,1.815
"2014-01-23",2,1.9362
"2014-01-23",3,1.7272
"2014-01-23",4,1.7706
"2014-01-23",5,2.1944
"2014-01-23",6,1.954
"2014-01-24",1,1.7918
"2014-01-24",2,1.9517
"2014-01-24",3,1.7528
"2014-01-24",4,1.8117
"2014-01-24",5,2.2385
"2014-01-24",6,1.9897
"2014-01-25",1,1.7935
"2014-01-25",2,1.8939
"2014-01-25",3,1.7639
"2014-01-25",4,1.8147
"2014-01-25",5,2.1892
"2014-01-25",6,2.0046
"2014-01-26",1,1.8658
"2014-01-26",2,2.0787
"2014-01-26",3,1.8631
"2014-01-26",4,1.9111
"2014-01-26",5,2.3142
"2014-01-26",6,2.0816
"2014-02-04",1,1.8345
"2014-02-04",2,1.7973
"2014-02-04",3,1.6569
"2014-02-04",4,1.7379
"2014-02-04",5,2.0729
"2014-02-04",6,1.7848
"2014-02-05",1,1.8325
"2014-02-05",2,1.8337
"2014-02-05",3,1.7104
"2014-02-05",4,1.7826
"2014-02-05",5,2.0908
"2014-02-05",6,1.8554
"2014-02-06",1,1.8344
"2014-02-06",2,1.8331
"2014-02-06",3,1.7238
"2014-02-06",4,1.7943
"2014-02-06",5,2.1347
"2014-02-06",6,1.8576
"2014-02-10",1,1.814
"2014-02-10",2,1.7903
"2014-02-10",3,1.6197
"2014-02-10",4,1.7214
"2014-02-10",5,2.0418
"2014-02-10",6,1.7914
"2014-02-13",1,1.9056
"2014-02-13",2,1.9275
"2014-02-13",3,1.7373
"2014-02-13",4,1.8137
"2014-02-13",5,2.1137
"2014-02-13",6,1.8561
"2014-02-14",1,1.9064
"2014-02-14",2,1.9101
"2014-02-14",3,1.7602
"2014-02-14",4,1.8054
"2014-02-14",5,2.1338
"2014-02-14",6,1.8607
"2014-02-15",1,1.9622
"2014-02-15",2,1.9981
"2014-02-15",3,1.8123
"2014-02-15",4,1.8516
"2014-02-15",5,2.1815
"2014-02-15",6,1.9291
"2014-02-16",1,2.0198
"2014-02-16",2,2.0818
"2014-02-16",3,1.8803
"2014-02-16",4,1.8944
"2014-02-16",5,2.2241
"2014-02-16",6,1.9887
"2014-02-17",1,2.0577
"2014-02-17",2,2.1586
"2014-02-17",3,1.8799
"2014-02-17",4,1.9356
"2014-02-17",5,2.3195
"2014-02-17",6,2.1433
"2014-02-18",1,2.0958
"2014-02-18",2,2.2267
"2014-02-18",3,1.9274
"2014-02-18",4,1.903
"2014-02-18",5,2.3394
"2014-02-18",6,2.1634
"2014-02-27",1,2.1543
"2014-02-27",2,2.2386
"2014-02-27",3,1.8883
"2014-02-27",4,1.9185
"2014-02-27",5,2.2948
"2014-02-27",6,2.1541
"2014-02-28",1,2.2084
"2014-02-28",2,2.3012
"2014-02-28",3,1.9271
"2014-02-28",4,1.976
"2014-02-28",5,2.2651
"2014-02-28",6,2.1783
"2014-03-01",1,2.2567
"2014-03-01",2,2.3444
"2014-03-01",3,1.9681
"2014-03-01",4,2.0085
"2014-03-01",5,2.2859
"2014-03-01",6,2.229
"2014-03-02",1,2.3144
"2014-03-02",2,2.3408
"2014-03-02",3,2.0208
"2014-03-02",4,2.0802
"2014-03-02",5,2.2925
"2014-03-02",6,2.2952
"2014-03-03",1,2.2731
"2014-03-03",2,2.3212
"2014-03-03",3,1.9945
"2014-03-03",4,2.0657
"2014-03-03",5,2.2334
"2014-03-03",6,2.2475
"2014-03-06",1,2.1875
"2014-03-06",2,2.2728
"2014-03-06",3,2.0022
"2014-03-06",4,2.0594
"2014-03-06",5,2.238
"2014-03-06",6,2.193
"2014-03-15",1,2.0849
"2014-03-15",2,2.2191
"2014-03-15",3,1.8726
"2014-03-15",4,1.9322
"2014-03-15",5,2.2571
"2014-03-15",6,2.1734
"2014-03-21",1,2.1198
"2014-03-21",2,2.237
"2014-03-21",3,1.8512
"2014-03-21",4,1.978
"2014-03-21",5,2.2951
"2014-03-21",6,2.0917
"2014-03-23",1,2.2582
"2014-03-23",2,2.3672
"2014-03-23",3,1.9678
"2014-03-23",4,2.1592
"2014-03-23",5,2.4574
"2014-03-23",6,2.2736
"2014-03-24",1,2.1539
"2014-03-24",2,2.2913
"2014-03-24",3,1.9456
"2014-03-24",4,2.0639
"2014-03-24",5,2.3104
"2014-03-24",6,2.174
"2014-03-26",1,2.1356
"2014-03-26",2,2.1984
"2014-03-26",3,1.8814
"2014-03-26",4,2.0221
"2014-03-26",5,2.2865
"2014-03-26",6,2.1559
"2014-03-27",1,2.2281
"2014-03-27",2,2.2354
"2014-03-27",3,1.9244
"2014-03-27",4,2.0584
"2014-03-27",5,2.3053
"2014-03-27",6,2.1818
"2014-03-28",1,2.2078
"2014-03-28",2,2.2156
"2014-03-28",3,1.8946
"2014-03-28",4,2.0873
"2014-03-28",5,2.3161
"2014-03-28",6,2.2131
"2014-04-04",1,2.0571
"2014-04-04",2,2.1228
"2014-04-04",3,1.8405
"2014-04-04",4,2.0215
"2014-04-04",5,2.278
"2014-04-04",6,2.1589
"2014-04-05",1,2.0586
"2014-04-05",2,2.1953
"2014-04-05",3,1.8186
"2014-04-05",4,1.9796
"2014-04-05",5,2.247
"2014-04-05",6,2.2455
"2014-04-07",1,2.059
"2014-04-07",2,2.1221
"2014-04-07",3,1.8156
"2014-04-07",4,2.0233
"2014-04-07",5,2.3152
"2014-04-07",6,2.2379
"2014-04-10",1,2.0249
"2014-04-10",2,2.0781
"2014-04-10",3,1.8516
"2014-04-10",4,1.998
"2014-04-10",5,2.2649
"2014-04-10",6,2.1829
"2014-04-12",1,2.1076
"2014-04-12",2,2.1756
"2014-04-12",3,1.9367
"2014-04-12",4,2.1348
"2014-04-12",5,2.368
"2014-04-12",6,2.2866
"2014-04-26",1,1.984
"2014-04-26",2,2.0711
"2014-04-26",3,1.8503
"2014-04-26",4,1.9803
"2014-04-26",5,2.2634
"2014-04-26",6,2.2091
"2014-04-28",1,1.9443
"2014-04-28",2,2.0055
"2014-04-28",3,1.7876
"2014-04-28",4,1.9641
"2014-04-28",5,2.2759
"2014-04-28",6,2.1872
"2014-04-30",1,1.9672
"2014-04-30",2,2.0013
"2014-04-30",3,1.8015
"2014-04-30",4,1.9798
"2014-04-30",5,2.2831
"2014-04-30",6,2.1885
"2014-05-30",1,1.9205
"2014-05-30",2,2.023
"2014-05-30",3,1.7704
"2014-05-30",4,1.9149
"2014-05-30",5,2.2778
"2014-05-30",6,2.1452
"2014-06-05",1,1.9184
"2014-06-05",2,1.9923
"2014-06-05",3,1.8144
"2014-06-05",4,1.9048
"2014-06-05",5,2.2578
"2014-06-05",6,2.0879
"2014-06-10",1,1.8832
"2014-06-10",2,1.9866
"2014-06-10",3,1.7848
"2014-06-10",4,1.8848
"2014-06-10",5,2.1977
"2014-06-10",6,2.0856
"2014-06-15",1,1.944
"2014-06-15",2,2.0236
"2014-06-15",3,1.8393
"2014-06-15",4,1.9661
"2014-06-15",5,2.2658
"2014-06-15",6,2.131
"2014-06-23",1,1.8729
"2014-06-23",2,1.9333
"2014-06-23",3,1.79
"2014-06-23",4,1.8744
"2014-06-23",5,2.2764
"2014-06-23",6,2.0683
"2014-07-15",1,1.7989
"2014-07-15",2,1.8641
"2014-07-15",3,1.6975
"2014-07-15",4,1.7787
"2014-07-15",5,2.0573
"2014-07-15",6,1.8839
"2014-07-20",1,1.761
"2014-07-20",2,1.8045
"2014-07-20",3,1.6656
"2014-07-20",4,1.7659
"2014-07-20",5,2.0397
"2014-07-20",6,1.9389
"2014-07-24",1,1.7951
"2014-07-24",2,1.7543
"2014-07-24",3,1.705
"2014-07-24",4,1.8112
"2014-07-24",5,2.054
"2014-07-24",6,1.9365
"2014-08-10",1,1.7196
"2014-08-10",2,1.7104
"2014-08-10",3,1.6212
"2014-08-10",4,1.6987
"2014-08-10",5,1.9649
"2014-08-10",6,1.8801
"2014-08-16",1,1.7085
"2014-08-16",2,1.7759
"2014-08-16",3,1.6571
"2014-08-16",4,1.7412
"2014-08-16",5,1.9768
"2014-08-16",6,1.8686
"2014-08-17",1,1.6842
"2014-08-17",2,1.7778
"2014-08-17",3,1.6574
"2014-08-17",4,1.7126
"2014-08-17",5,1.9651
"2014-08-17",6,1.8411
"2014-08-18",1,1.6639
"2014-08-18",2,1.7767
"2014-08-18",3,1.6613
"2014-08-18",4,1.7039
"2014-08-18",5,1.9697
"2014-08-18",6,1.8556
"2014-08-25",1,1.7548
"2014-08-25",2,1.7974
"2014-08-25",3,1.74
"2014-08-25",4,1.8362
"2014-08-25",5,2.0748
"2014-08-25",6,2.0331
"2014-08-26",1,1.6835
"2014-08-26",2,1.7572
"2014-08-26",3,1.6817
"2014-08-26",4,1.7223
"2014-08-26",5,1.946
"2014-08-26",6,1.8928
"2014-08-27",1,1.8717
"2014-08-27",2,1.865
"2014-08-27",3,1.8247
"2014-08-27",4,1.9275
"2014-08-27",5,2.1356
"2014-08-27",6,2.1294
"2014-08-30",1,1.7182
"2014-08-30",2,1.7884
"2014-08-30",3,1.7189
"2014-08-30",4,1.7668
"2014-08-30",5,1.9677
"2014-08-30",6,1.9396
"2014-09-02",1,1.7905
"2014-09-02",2,1.8031
"2014-09-02",3,1.7665
"2014-09-02",4,1.8284
"2014-09-02",5,2.0852
"2014-09-02",6,2.0853
"2014-09-05",1,1.7081
"2014-09-05",2,1.7805
"2014-09-05",3,1.6752
"2014-09-05",4,1.7235
"2014-09-05",5,1.9526
"2014-09-05",6,1.8624
"2014-09-06",1,1.7438
"2014-09-06",2,1.7682
"2014-09-06",3,1.6961
"2014-09-06",4,1.7345
"2014-09-06",5,2.0107
"2014-09-06",6,1.9693
"2014-09-07",1,1.7374
"2014-09-07",2,1.7898
"2014-09-07",3,1.6969
"2014-09-07",4,1.7312
"2014-09-07",5,2.0214
"2014-09-07",6,1.9266
"2014-09-12",1,1.7223
"2014-09-12",2,1.8216
"2014-09-12",3,1.7376
"2014-09-12",4,1.7566
"2014-09-12",5,1.9864
"2014-09-12",6,1.9426
"2014-09-13",1,1.752
"2014-09-13",2,1.8705
"2014-09-13",3,1.701
"2014-09-13",4,1.7277
"2014-09-13",5,2.0823
"2014-09-13",6,1.9704
"2014-09-16",1,1.8486
"2014-09-16",2,1.8847
"2014-09-16",3,1.6763
"2014-09-16",4,1.72
"2014-09-16",5,2.0956
"2014-09-16",6,2.0109
"2014-09-25",1,1.5971
"2014-09-25",2,1.6737
"2014-09-25",3,1.6096
"2014-09-25",4,1.6264
"2014-09-25",5,1.9121
"2014-09-25",6,1.7627
"2014-10-15",1,1.5265
"2014-10-15",2,1.679
"2014-10-15",3,1.4969
"2014-10-15",4,1.6272
"2014-10-15",5,1.8209
"2014-10-15",6,1.4312
"2014-10-20",1,1.5025
"2014-10-20",2,1.645
"2014-10-20",3,1.4828
"2014-10-20",4,1.6191
"2014-10-20",5,1.7884
"2014-10-20",6,1.353
"2014-10-21",1,1.5312
"2014-10-21",2,1.679
"2014-10-21",3,1.4899
"2014-10-21",4,1.6534
"2014-10-21",5,1.8223
"2014-10-21",6,1.4025
"2014-11-10",1,1.4731
"2014-11-10",2,1.5904
"2014-11-10",3,1.4283
"2014-11-10",4,1.441
"2014-11-10",5,1.8329
"2014-11-10",6,1.2676
"2014-11-11",1,1.5093
"2014-11-11",2,1.6027
"2014-11-11",3,1.4188
"2014-11-11",4,1.4712
"2014-11-11",5,1.9019
"2014-11-11",6,1.2864
"2014-11-12",1,1.4525
"2014-11-12",2,1.578
"2014-11-12",3,1.3873
"2014-11-12",4,1.419
"2014-11-12",5,1.862
"2014-11-12",6,1.2583
"2014-11-15",1,1.4875
"2014-11-15",2,1.5816
"2014-11-15",3,1.421
"2014-11-15",4,1.4294
"2014-11-15",5,1.8603
"2014-11-15",6,1.2739
"2014-11-25",1,1.3797
"2014-11-25",2,1.4368
"2014-11-25",3,1.3111
"2014-11-25",4,1.3854
"2014-11-25",5,1.8369
"2014-11-25",6,1.2106
"2014-11-26",1,1.4083
