"Date","Ring","Depth","microbial_p_g_m2"
"2015-06-09",4,"transition",0.119293510400861
"2017-09-01",4,"transition",0.166524091992
"2014-11-17",4,"transition",0.0661571786526508
"2015-03-10",4,"transition",0.0188753086529346
"2014-09-09",4,"transition",0.157042040076303
"2015-09-09",5,"0_10",3.4537958157511
"2015-06-09",5,"0_10",3.84053103455999
"2014-11-17",5,"0_10",2.10212678426666
"2015-03-10",5,"0_10",1.314060021736
"2015-11-30",5,"0_10",2.55083441457777
"2014-09-09",5,"0_10",4.12127711658666
"2017-09-01",5,"0_10",4.54812652799999
"2014-11-17",5,"10_30",1.51340047242032
"2015-03-10",5,"10_30",0.946041443631424
"2014-09-09",5,"10_30",2.96706306294136
"2015-06-09",5,"10_30",2.76494335429708
"2017-09-01",5,"10_30",3.27436807694917
"2015-09-09",5,"10_30",2.48651806271738
"2015-11-30",5,"10_30",1.83644204382979
"2017-09-01",5,"transition",1.50275665497375
"2015-11-30",5,"transition",0.842826902163711
"2015-09-09",5,"transition",1.14117639759746
"2015-06-09",5,"transition",1.26895844591997
"2014-09-09",5,"transition",1.36172038658412
"2014-11-17",5,"transition",0.694568410796707
"2015-03-10",5,"transition",0.434181509802254
"2017-09-01",6,"0_10",6.09386196026668
"2015-11-30",6,"0_10",3.26127170620667
"2015-06-09",6,"0_10",4.82243938359001
"2014-11-17",6,"0_10",2.92837196213667
"2015-03-10",6,"0_10",2.21554913370334
"2015-09-09",6,"0_10",4.16529281088001
"2014-09-09",6,"0_10",6.17577871592002
"2015-11-30",6,"10_30",2.00745363589688
"2015-06-09",6,"10_30",2.96841979037075
"2014-11-17",6,"10_30",1.80253946074532
"2017-09-01",6,"10_30",3.75103531714625
"2015-03-10",6,"10_30",1.36376621288453
"2014-09-09",6,"10_30",3.80145861940108
"2015-09-09",6,"10_30",2.56391768335733
"2014-11-17",6,"transition",0.4733375236339
"2015-03-10",6,"transition",0.358117941981383
"2015-11-30",6,"transition",0.527146924390995
"2015-09-09",6,"transition",0.67327150027535
"2014-09-09",6,"transition",0.998243338517557
"2015-06-09",6,"transition",0.779491657896344
"2017-09-01",6,"transition",0.985002440583
