"Start_date","End_date","Date","Ring","frass_production_flux","Days"
2013-06-14,2013-07-08,2013-07-08,2,21.1014455784356,24
2013-06-14,2013-07-08,2013-07-08,3,16.788316343071,24
2013-06-14,2013-07-08,2013-07-08,4,14.0061371009969,24
2013-06-14,2013-07-08,2013-07-08,5,21.4891886588078,24
2013-06-14,2013-07-08,2013-07-08,6,22.8393887860951,24
2013-07-08,2013-08-16,2013-08-16,1,25.2778113125326,39
2013-07-08,2013-08-16,2013-08-16,2,29.9352787780671,39
2013-07-08,2013-08-16,2013-08-16,3,13.2177437258717,39
2013-07-08,2013-08-16,2013-08-16,4,13.9441235833249,39
2013-07-08,2013-08-16,2013-08-16,5,27.6392365349424,39
2013-07-08,2013-08-16,2013-08-16,6,22.9349918699372,39
2013-08-16,2013-09-13,2013-09-13,1,54.3383688711588,28
2013-08-16,2013-09-13,2013-09-13,2,56.9717058462242,28
2013-08-16,2013-09-13,2013-09-13,3,18.0907263457257,28
2013-08-16,2013-09-13,2013-09-13,4,24.6255921446167,28
2013-08-16,2013-09-13,2013-09-13,5,43.7812392291117,28
2013-08-16,2013-09-13,2013-09-13,6,42.2661376270709,28
2013-09-13,2013-10-09,2013-10-09,1,37.4337875396446,26
2013-09-13,2013-10-09,2013-10-09,2,40.1389191372906,26
2013-09-13,2013-10-09,2013-10-09,3,21.0699122065068,26
2013-09-13,2013-10-09,2013-10-09,4,25.2440178881545,26
2013-09-13,2013-10-09,2013-10-09,5,42.3616297980893,26
2013-09-13,2013-10-09,2013-10-09,6,37.2571202332515,26
2013-10-09,2013-11-14,2013-11-14,1,16.5153336704509,36
2013-10-09,2013-11-14,2013-11-14,2,16.7683072123158,36
2013-10-09,2013-11-14,2013-11-14,3,16.8501178009527,36
2013-10-09,2013-11-14,2013-11-14,4,26.5632293995368,36
2013-10-09,2013-11-14,2013-11-14,5,28.0207672973996,36
2013-10-09,2013-11-14,2013-11-14,6,14.3204469044604,36
2013-11-14,2013-12-13,2013-12-13,1,17.042333229313,29
2013-11-14,2013-12-13,2013-12-13,2,19.1179293157732,29
2013-11-14,2013-12-13,2013-12-13,3,13.3137945808788,29
2013-11-14,2013-12-13,2013-12-13,4,16.0951726788479,29
2013-11-14,2013-12-13,2013-12-13,5,30.7609231347154,29
2013-11-14,2013-12-13,2013-12-13,6,18.5744715899636,29
2013-12-13,2014-01-14,2014-01-14,1,48.9849104644557,32
2013-12-13,2014-01-14,2014-01-14,2,52.1714348510927,32
2013-12-13,2014-01-14,2014-01-14,3,24.3223332257153,32
2013-12-13,2014-01-14,2014-01-14,4,42.9441137999605,32
2013-12-13,2014-01-14,2014-01-14,5,53.8114042752252,32
2013-12-13,2014-01-14,2014-01-14,6,37.6169168116139,32
2014-01-14,2014-02-26,2014-02-26,1,26.9288209662741,43
2014-01-14,2014-02-26,2014-02-26,2,35.1995634342985,43
2014-01-14,2014-02-26,2014-02-26,3,29.4482845499982,43
2014-01-14,2014-02-26,2014-02-26,4,26.2488531013608,43
2014-01-14,2014-02-26,2014-02-26,5,32.5972408471386,43
2014-01-14,2014-02-26,2014-02-26,6,29.2034858850629,43
2014-02-26,2014-03-14,2014-03-14,1,60.8609644881948,16
2014-02-26,2014-03-14,2014-03-14,2,83.0879110025392,16
2014-02-26,2014-03-14,2014-03-14,3,70.3514901912551,16
2014-02-26,2014-03-14,2014-03-14,4,31.6630431416419,16
2014-02-26,2014-03-14,2014-03-14,5,44.5970141876974,16
2014-02-26,2014-03-14,2014-03-14,6,42.3748923567912,16
2014-03-14,2014-04-14,2014-04-14,2,19.2307292227756,31
2014-03-14,2014-04-14,2014-04-14,3,18.8516569417228,31
2014-03-14,2014-04-14,2014-04-14,4,12.9901838052735,31
2014-03-14,2014-04-14,2014-04-14,5,19.7899366195399,31
2014-03-14,2014-04-14,2014-04-14,6,21.1479771199789,31
2014-04-14,2014-05-08,2014-05-08,1,22.3430699975458,24
2014-04-14,2014-05-08,2014-05-08,2,21.8650885653289,24
2014-04-14,2014-05-08,2014-05-08,3,18.0528649090852,24
2014-04-14,2014-05-08,2014-05-08,4,11.5587946939848,24
2014-04-14,2014-05-08,2014-05-08,5,18.6862860557005,24
2014-04-14,2014-05-08,2014-05-08,6,21.2569846851564,24
2014-05-08,2014-06-12,2014-06-12,1,13.3514135660391,35
2014-05-08,2014-06-12,2014-06-12,2,15.8748943213748,35
2014-05-08,2014-06-12,2014-06-12,3,17.8425922841552,35
2014-05-08,2014-06-12,2014-06-12,4,10.0890526698188,35
2014-05-08,2014-06-12,2014-06-12,5,10.211978412637,35
2014-05-08,2014-06-12,2014-06-12,6,9.07374603702844,35
2014-06-12,2014-07-03,2014-07-03,1,22.9734847611068,21
2014-06-12,2014-07-03,2014-07-03,2,29.5556873409466,21
2014-06-12,2014-07-03,2014-07-03,3,19.0688548661382,21
2014-06-12,2014-07-03,2014-07-03,4,15.6413652181477,21
2014-06-12,2014-07-03,2014-07-03,5,28.7950280736062,21
2014-06-12,2014-07-03,2014-07-03,6,28.5725310436774,21
2014-07-03,2014-08-13,2014-08-13,1,11.4184610714638,41
2014-07-03,2014-08-13,2014-08-13,2,15.181913937071,41
2014-07-03,2014-08-13,2014-08-13,3,8.07794181930853,41
2014-07-03,2014-08-13,2014-08-13,4,10.2471454407837,41
2014-07-03,2014-08-13,2014-08-13,5,12.6184965881512,41
2014-07-03,2014-08-13,2014-08-13,6,15.8403484646409,41
2014-08-13,2014-09-11,2014-09-11,1,13.594022742562,29
2014-08-13,2014-09-11,2014-09-11,4,7.62415513036452,29
2014-08-13,2014-09-11,2014-09-11,5,13.4313928126274,29
2014-08-13,2014-09-11,2014-09-11,6,16.9682990967356,29
2014-09-11,2014-10-16,2014-10-16,1,20.611355779416,35
2014-09-11,2014-10-16,2014-10-16,2,20.301471122053,35
2014-09-11,2014-10-16,2014-10-16,3,15.1132504795062,35
2014-09-11,2014-10-16,2014-10-16,4,14.0857982276529,35
2014-09-11,2014-10-16,2014-10-16,5,23.6283946108135,35
2014-09-11,2014-10-16,2014-10-16,6,15.2897657334422,35
