"Date","Start_date","End_date","Ring","frass_p_flux_mg_m2_d","Days"
"2014-02-26","2014-01-14","2014-02-26",4,0.0465366176340558,43
"2014-02-26","2014-01-14","2014-02-26",5,0.0636917847440407,43
"2014-02-26","2014-01-14","2014-02-26",6,0.0677175978299705,43
"2014-03-14","2014-02-26","2014-03-14",1,0.118536027448019,16
"2014-03-14","2014-02-26","2014-03-14",2,0.168864954160254,16
"2014-03-14","2014-02-26","2014-03-14",3,0.104606436139784,16
"2014-03-14","2014-02-26","2014-03-14",4,0.049818770420453,16
"2014-03-14","2014-02-26","2014-03-14",5,0.0883612095089196,16
"2014-03-14","2014-02-26","2014-03-14",6,0.098351772099204,16
"2014-04-14","2014-03-14","2014-04-14",2,0.0328416005721509,31
"2014-04-14","2014-03-14","2014-04-14",3,0.0298367345303834,31
"2014-04-14","2014-03-14","2014-04-14",4,0.0219929038644601,31
"2014-04-14","2014-03-14","2014-04-14",5,0.0342726034981891,31
"2014-04-14","2014-03-14","2014-04-14",6,0.0437271395432754,31
"2014-05-08","2014-04-14","2014-05-08",1,0.0335545073551926,24
"2014-05-08","2014-04-14","2014-05-08",2,0.0414272251831595,24
"2014-05-08","2014-04-14","2014-05-08",3,0.0232820952731054,24
"2014-05-08","2014-04-14","2014-05-08",4,0.0148784232386903,24
"2014-05-08","2014-04-14","2014-05-08",5,0.030391629829194,24
"2014-05-08","2014-04-14","2014-05-08",6,0.0336440156290809,24
"2014-06-12","2014-05-08","2014-06-12",1,0.0198419456923258,35
"2014-06-12","2014-05-08","2014-06-12",2,0.020316417189903,35
"2014-06-12","2014-05-08","2014-06-12",3,0.0248910533097817,35
"2014-06-12","2014-05-08","2014-06-12",4,0.0140115479405589,35
"2014-06-12","2014-05-08","2014-06-12",5,0.0159417726561598,35
"2014-06-12","2014-05-08","2014-06-12",6,0.0131182945175748,35
"2014-07-03","2014-06-12","2014-07-03",1,0.0372685730632946,21
"2014-07-03","2014-06-12","2014-07-03",2,0.0481247764607587,21
"2014-07-03","2014-06-12","2014-07-03",3,0.028133601149596,21
"2014-07-03","2014-06-12","2014-07-03",4,0.0319704435487013,21
"2014-07-03","2014-06-12","2014-07-03",5,0.0807273355035404,21
"2014-07-03","2014-06-12","2014-07-03",6,0.0486634945741286,21
"2014-08-13","2014-07-03","2014-08-13",1,0.0181106684586162,41
"2014-08-13","2014-07-03","2014-08-13",2,0.0254451502681499,41
"2014-08-13","2014-07-03","2014-08-13",3,0.0105574346592618,41
"2014-08-13","2014-07-03","2014-08-13",4,0.0127228898733311,41
"2014-08-13","2014-07-03","2014-08-13",5,0.023562908284745,41
"2014-08-13","2014-07-03","2014-08-13",6,0.0248585740695953,41
"2014-09-11","2014-08-13","2014-09-11",1,0.0204136992754585,29
"2014-09-11","2014-08-13","2014-09-11",4,0.0115614311995916,29
"2014-09-11","2014-08-13","2014-09-11",5,0.0350067209750797,29
"2014-09-11","2014-08-13","2014-09-11",6,0.029639546883297,29
"2014-10-16","2014-09-11","2014-10-16",1,0.0326767534114474,35
"2014-10-16","2014-09-11","2014-10-16",2,0.0343522452809878,35
"2014-10-16","2014-09-11","2014-10-16",3,0.0205818052698907,35
"2014-10-16","2014-09-11","2014-10-16",4,0.0208588264595403,35
"2014-10-16","2014-09-11","2014-10-16",5,0.0334224310524714,35
"2014-10-16","2014-09-11","2014-10-16",6,0.0217793486930079,35
