"Date","Start_date","End_date","Ring","canopy_p_flux","Days"
"2014-08-14","2014-07-03","2014-08-14",2,-0.511278984691609,43
"2014-08-14","2014-07-03","2014-08-14",3,-0.190691577271385,43
"2014-08-14","2014-07-03","2014-08-14",4,-0.311812908340848,43
"2014-08-14","2014-07-03","2014-08-14",5,-0.240179860271098,43
"2014-08-14","2014-07-03","2014-08-14",6,-0.569928469192558,43
"2014-09-15","2014-08-14","2014-09-15",1,-0.458053499099477,33
"2014-09-15","2014-08-14","2014-09-15",2,-0.430194384112704,33
"2014-09-15","2014-08-14","2014-09-15",3,-0.260671875506392,33
"2014-09-15","2014-08-14","2014-09-15",4,-0.370283868204667,33
"2014-09-15","2014-08-14","2014-09-15",5,-0.218533030147917,33
"2014-09-15","2014-08-14","2014-09-15",6,-0.583429652527152,33
"2014-10-16","2014-09-15","2014-10-16",1,0.0961866064998456,32
"2014-10-16","2014-09-15","2014-10-16",2,0.662280878547037,32
"2014-10-16","2014-09-15","2014-10-16",3,0.566474308920977,32
"2014-10-16","2014-09-15","2014-10-16",4,0.363329855811518,32
"2014-10-16","2014-09-15","2014-10-16",5,0.55904925768308,32
"2014-10-16","2014-09-15","2014-10-16",6,2.6955105584174,32
"2014-11-12","2014-10-16","2014-11-12",1,0.409226592515023,28
"2014-11-12","2014-10-16","2014-11-12",2,0.469145637233634,28
"2014-11-12","2014-10-16","2014-11-12",3,0.475073036811239,28
"2014-11-12","2014-10-16","2014-11-12",4,0.322499539691479,28
"2014-11-12","2014-10-16","2014-11-12",5,0.750594119143929,28
"2014-11-12","2014-10-16","2014-11-12",6,0.559007661035206,28
"2014-12-16","2014-11-12","2014-12-16",1,0.625722219475616,35
"2014-12-16","2014-11-12","2014-12-16",2,0.586656106344276,35
"2014-12-16","2014-11-12","2014-12-16",3,0.454520032133227,35
"2014-12-16","2014-11-12","2014-12-16",4,0.413915642304621,35
"2014-12-16","2014-11-12","2014-12-16",5,0.706398152757116,35
"2014-12-16","2014-11-12","2014-12-16",6,1.2559866329663,35
"2015-01-13","2014-12-16","2015-01-13",1,0.95403894766601,29
"2015-01-13","2014-12-16","2015-01-13",2,0.914613722258373,29
"2015-01-13","2014-12-16","2015-01-13",3,1.58387951301784,29
"2015-01-13","2014-12-16","2015-01-13",4,0.683724420197343,29
"2015-01-13","2014-12-16","2015-01-13",5,1.42832780463129,29
"2015-01-13","2014-12-16","2015-01-13",6,1.48754725573974,29
"2015-02-11","2015-01-13","2015-02-11",1,1.37121777611457,30
"2015-02-11","2015-01-13","2015-02-11",2,1.33346376756016,30
"2015-02-11","2015-01-13","2015-02-11",3,1.48968895089268,30
"2015-02-11","2015-01-13","2015-02-11",4,0.543877516693108,30
"2015-02-11","2015-01-13","2015-02-11",5,1.1008980418959,30
"2015-02-11","2015-01-13","2015-02-11",6,1.25225058511021,30
"2015-03-12","2015-02-11","2015-03-12",1,1.89962270100783,30
"2015-03-12","2015-02-11","2015-03-12",2,1.61468953503492,30
"2015-03-12","2015-02-11","2015-03-12",3,1.46062398138245,30
"2015-03-12","2015-02-11","2015-03-12",4,1.4206407409362,30
"2015-03-12","2015-02-11","2015-03-12",5,1.76062775387107,30
"2015-03-12","2015-02-11","2015-03-12",6,1.26775917391482,30
"2015-04-17","2015-03-12","2015-04-17",1,0.167113268396997,37
"2015-04-17","2015-03-12","2015-04-17",2,0.213578723195173,37
"2015-04-17","2015-03-12","2015-04-17",3,0.402775402469724,37
"2015-04-17","2015-03-12","2015-04-17",4,0.271763309000076,37
"2015-04-17","2015-03-12","2015-04-17",5,0.131176549064169,37
"2015-04-17","2015-03-12","2015-04-17",6,0.526846492019424,37
"2015-06-09","2015-04-17","2015-06-09",1,-0.118347739082616,54
"2015-06-09","2015-04-17","2015-06-09",2,-0.031064620316198,54
"2015-06-09","2015-04-17","2015-06-09",3,0.043423680922444,54
"2015-06-09","2015-04-17","2015-06-09",4,-0.139272918554106,54
"2015-06-09","2015-04-17","2015-06-09",5,-0.160203690919443,54
"2015-06-09","2015-04-17","2015-06-09",6,0.0854429848582318,54
"2015-08-24","2015-06-09","2015-08-24",1,-0.0531981692097589,77
"2015-08-24","2015-06-09","2015-08-24",2,0.0133055782339944,77
"2015-08-24","2015-06-09","2015-08-24",3,-0.0472381227702193,77
"2015-08-24","2015-06-09","2015-08-24",4,0.200221414391243,77
"2015-08-24","2015-06-09","2015-08-24",5,0.10347735618449,77
"2015-08-24","2015-06-09","2015-08-24",6,-0.00486896905950306,77
"2015-09-11","2015-08-24","2015-09-11",1,0.268697299796588,19
"2015-09-11","2015-08-24","2015-09-11",2,0.352253652884968,19
"2015-09-11","2015-08-24","2015-09-11",3,0.107185769680395,19
"2015-09-11","2015-08-24","2015-09-11",4,0.338550565426275,19
"2015-09-11","2015-08-24","2015-09-11",5,0.450132821802608,19
"2015-09-11","2015-08-24","2015-09-11",6,-0.0227395005331056,19
"2015-10-16","2015-09-11","2015-10-16",1,2.19423906829907,36
"2015-10-16","2015-09-11","2015-10-16",2,2.46021698442285,36
"2015-10-16","2015-09-11","2015-10-16",3,1.98311420688847,36
"2015-10-16","2015-09-11","2015-10-16",4,1.77544457383731,36
"2015-10-16","2015-09-11","2015-10-16",5,2.76835966177112,36
"2015-10-16","2015-09-11","2015-10-16",6,4.375058063529,36
"2015-11-23","2015-10-16","2015-11-23",1,0.74575035608498,39
"2015-11-23","2015-10-16","2015-11-23",2,1.18522169508775,39
"2015-11-23","2015-10-16","2015-11-23",3,1.05131163208666,39
"2015-11-23","2015-10-16","2015-11-23",4,1.21368546560765,39
"2015-11-23","2015-10-16","2015-11-23",5,1.38035175938655,39
"2015-11-23","2015-10-16","2015-11-23",6,0.537026651162395,39
"2015-12-17","2015-11-23","2015-12-17",1,1.42145336033365,25
"2015-12-17","2015-11-23","2015-12-17",2,1.77584478563392,25
"2015-12-17","2015-11-23","2015-12-17",3,1.53552837393686,25
"2015-12-17","2015-11-23","2015-12-17",4,1.81207865999045,25
"2015-12-17","2015-11-23","2015-12-17",5,2.04961921832035,25
"2015-12-17","2015-11-23","2015-12-17",6,1.19912808635807,25
"2016-01-20","2015-12-17","2016-01-20",1,0.962378499734159,35
"2016-01-20","2015-12-17","2016-01-20",2,1.17731392823032,35
"2016-01-20","2015-12-17","2016-01-20",3,1.31456170550177,35
"2016-01-20","2015-12-17","2016-01-20",4,0.977406120542573,35
"2016-01-20","2015-12-17","2016-01-20",5,1.15254394095725,35
"2016-01-20","2015-12-17","2016-01-20",6,0.777778344623324,35
"2016-02-22","2016-01-20","2016-02-22",1,1.02142539106465,34
"2016-02-22","2016-01-20","2016-02-22",2,1.55258370737996,34
"2016-02-22","2016-01-20","2016-02-22",3,1.18913111145069,34
"2016-02-22","2016-01-20","2016-02-22",4,1.63470837832705,34
"2016-02-22","2016-01-20","2016-02-22",5,1.22950658428476,34
"2016-02-22","2016-01-20","2016-02-22",6,1.17762749157854,34
"2016-03-10","2016-02-22","2016-03-10",1,0.961801466964151,18
"2016-03-10","2016-02-22","2016-03-10",2,1.22697804115364,18
"2016-03-10","2016-02-22","2016-03-10",3,1.29022785341466,18
"2016-03-10","2016-02-22","2016-03-10",4,1.16927609810091,18
"2016-03-10","2016-02-22","2016-03-10",5,2.13750029550929,18
"2016-03-10","2016-02-22","2016-03-10",6,1.31559021833673,18
"2016-04-05","2016-03-10","2016-04-05",1,0.701679539859674,27
"2016-04-05","2016-03-10","2016-04-05",2,0.963876515719954,27
"2016-04-05","2016-03-10","2016-04-05",3,0.785433519076908,27
"2016-04-05","2016-03-10","2016-04-05",4,0.59256466544936,27
"2016-04-05","2016-03-10","2016-04-05",5,0.646763619622084,27
"2016-04-05","2016-03-10","2016-04-05",6,1.41428615950688,27
"2016-05-13","2016-04-05","2016-05-13",1,0.373202315455522,39
"2016-05-13","2016-04-05","2016-05-13",2,0.650424362774875,39
"2016-05-13","2016-04-05","2016-05-13",3,0.259556348798786,39
"2016-05-13","2016-04-05","2016-05-13",4,-0.0396735548905649,39
"2016-05-13","2016-04-05","2016-05-13",5,0.140913091437461,39
"2016-05-13","2016-04-05","2016-05-13",6,0.334175882733179,39
"2016-06-28","2016-05-13","2016-06-28",1,0.0363681362369406,47
"2016-06-28","2016-05-13","2016-06-28",2,0.450685989129152,47
"2016-06-28","2016-05-13","2016-06-28",3,-0.0615321731160881,47
"2016-06-28","2016-05-13","2016-06-28",4,0.0097029993756072,47
"2016-06-28","2016-05-13","2016-06-28",5,-0.348103453972085,47
"2016-06-28","2016-05-13","2016-06-28",6,0.0698369613266395,47
"2016-07-26","2016-06-28","2016-07-26",1,-0.21654036077268,29
"2016-07-26","2016-06-28","2016-07-26",2,0.152001634845661,29
"2016-07-26","2016-06-28","2016-07-26",3,-0.097074026226957,29
"2016-07-26","2016-06-28","2016-07-26",4,-0.130859994207844,29
"2016-07-26","2016-06-28","2016-07-26",5,-0.426938572025119,29
"2016-07-26","2016-06-28","2016-07-26",6,-0.142415313779717,29
"2016-08-30","2016-07-26","2016-08-30",1,-0.188620336191339,36
"2016-08-30","2016-07-26","2016-08-30",2,0.0825335533341212,36
"2016-08-30","2016-07-26","2016-08-30",3,-0.391422667203075,36
"2016-08-30","2016-07-26","2016-08-30",4,-0.168239596460898,36
"2016-08-30","2016-07-26","2016-08-30",5,-0.283512346601167,36
"2016-08-30","2016-07-26","2016-08-30",6,-0.258358555518673,36
"2016-09-13","2016-08-30","2016-09-13",1,-0.191171231419046,15
"2016-09-13","2016-08-30","2016-09-13",2,0.291508851394423,15
"2016-09-13","2016-08-30","2016-09-13",3,-0.147773842578447,15
"2016-09-13","2016-08-30","2016-09-13",4,0.307597133531452,15
"2016-09-13","2016-08-30","2016-09-13",5,0.348053499306982,15
"2016-09-13","2016-08-30","2016-09-13",6,0.183359115080364,15
"2016-10-13","2016-09-13","2016-10-13",1,0.601650203779573,31
"2016-10-13","2016-09-13","2016-10-13",2,0.793059148490407,31
"2016-10-13","2016-09-13","2016-10-13",3,0.963485452177396,31
"2016-10-13","2016-09-13","2016-10-13",4,1.38093635366122,31
"2016-10-13","2016-09-13","2016-10-13",5,1.63236239689708,31
"2016-10-13","2016-09-13","2016-10-13",6,1.20482748351889,31
"2016-11-07","2016-10-13","2016-11-07",1,0.70275527753447,26
"2016-11-07","2016-10-13","2016-11-07",2,0.793895642946377,26
"2016-11-07","2016-10-13","2016-11-07",3,1.13350158451272,26
"2016-11-07","2016-10-13","2016-11-07",4,1.12295685456827,26
"2016-11-07","2016-10-13","2016-11-07",5,1.69773522529893,26
"2016-11-07","2016-10-13","2016-11-07",6,0.923852443008309,26
"2016-12-12","2016-11-09","2016-12-12",1,1.2487727981669,34
"2016-12-12","2016-11-09","2016-12-12",2,1.52556352905311,34
"2016-12-12","2016-11-09","2016-12-12",3,1.2992385022762,34
"2016-12-12","2016-11-09","2016-12-12",4,1.80497713590862,34
"2016-12-12","2016-11-09","2016-12-12",5,1.72397759778913,34
"2016-12-12","2016-11-09","2016-12-12",6,1.4856387925984,34
