"Date","Ring","Depth","soil_phosphate_p_g_m2"
"2014-11-17",2,"transition",0.19756268636761
"2015-09-09",2,"transition",0.180134049664052
"2014-06-17",2,"transition",0.12475903764312
"2012-06-13",2,"transition",0.202177270702687
"2015-11-30",2,"transition",0.173396502287767
"2014-09-09",2,"transition",0.182231587998178
"2013-12-10",2,"transition",0.142556332599342
"2015-06-09",2,"transition",0.290095907786426
"2018-10-01",2,"transition",0.3915440645643
"2014-03-10",2,"transition",0.139708765406346
"2013-06-11",2,"transition",0.14718362928796
"2015-03-10",2,"transition",0.0617820382051719
"2012-12-11",2,"transition",0.190481905445741
"2013-09-03",2,"transition",0.238076957100096
"2013-03-11",2,"transition",0.149649825874751
"2013-06-11",3,"0_10",0.17586
"2014-11-17",3,"0_10",0.159696
"2015-03-10",3,"0_10",0.05526
"2015-06-09",3,"0_10",0.2376
"2014-09-09",3,"0_10",0.109746
"2013-03-11",3,"0_10",0.182376
"2014-06-17",3,"0_10",0.103788
"2015-09-09",3,"0_10",0.15948
"2012-09-03",3,"0_10",0.24984
"2014-03-10",3,"0_10",0.153504
"2013-12-10",3,"0_10",0.158832
"2012-06-13",3,"0_10",0.218124
"2012-12-11",3,"0_10",0.21384
"2013-09-03",3,"0_10",0.276264
"2018-10-01",3,"0_10",0.53100956736
"2015-11-30",3,"0_10",0.17946
"2015-03-10",3,"10_30",0.112960624534403
"2014-11-17",3,"10_30",0.326445166406913
"2015-09-09",3,"10_30",0.326003626506453
"2014-09-09",3,"10_30",0.22433906442549
"2015-06-09",3,"10_30",0.485693890506229
"2013-12-10",3,"10_30",0.324679006805072
"2012-09-03",3,"10_30",0.51071448486564
"2014-06-17",3,"10_30",0.21215992217113
"2013-06-11",3,"10_30",0.359487068958019
"2012-06-13",3,"10_30",0.445881709481398
"2015-11-30",3,"10_30",0.366846067299021
"2014-03-10",3,"10_30",0.313787689260387
"2013-09-03",3,"10_30",0.564729532688603
"2018-10-01",3,"10_30",1.085471812572
"2013-03-11",3,"10_30",0.372806855955234
"2012-12-11",3,"10_30",0.437124501455604
"2014-11-17",3,"transition",0.69031147670365
"2014-03-10",3,"transition",0.663545567327404
"2014-09-09",3,"transition",0.474394620543526
"2013-03-11",3,"transition",0.788349400581764
"2012-06-13",3,"transition",0.942875842503927
"2018-10-01",3,"transition",2.2953737012076
"2015-03-10",3,"transition",0.238870179607779
"2012-09-03",3,"transition",1.0799733201811
"2012-12-11",3,"transition",0.924357567993617
"2013-06-11",3,"transition",0.760182949435829
"2015-06-09",3,"transition",1.02706396443735
"2015-11-30",3,"transition",0.775744524654577
"2014-06-17",3,"transition",0.448640213556499
"2015-09-09",3,"transition",0.689377782190524
"2013-12-10",3,"transition",0.686576698651153
"2013-09-03",3,"transition",1.1941952822867
"2014-11-17",4,"0_10",0.1955835
"2014-09-09",4,"0_10",0.14799225
"2012-12-11",4,"0_10",0.2365965
"2014-03-10",4,"0_10",0.17136525
"2012-09-03",4,"0_10",0.18944625
"2013-03-11",4,"0_10",0.246666
"2015-03-10",4,"0_10",0.04465125
"2015-09-09",4,"0_10",0.18062625
"2015-11-30",4,"0_10",0.19459125
"2013-06-11",4,"0_10",0.1901445
"2012-06-13",4,"0_10",0.32836125
"2018-10-01",4,"0_10",0.444434212383
"2015-06-09",4,"0_10",0.2730525
"2013-12-10",4,"0_10",0.1664775
"2014-06-17",4,"0_10",0.1198785
"2013-09-03",4,"0_10",0.27514725
"2015-09-09",4,"10_30",0.327573227674724
"2015-06-09",4,"10_30",0.495192081713774
"2012-06-13",4,"10_30",0.595496803514478
"2014-11-17",4,"10_30",0.354698823537107
"2014-06-17",4,"10_30",0.217404652833153
"2012-09-03",4,"10_30",0.343568665038291
"2018-10-01",4,"10_30",0.805999955374
"2015-03-10",4,"10_30",0.0809769016530598
"2014-03-10",4,"10_30",0.310778018442978
"2015-11-30",4,"10_30",0.352899336833705
"2014-09-09",4,"10_30",0.268390109429524
"2013-03-11",4,"10_30",0.447339064934435
"2013-12-10",4,"10_30",0.301913880237334
"2012-12-11",4,"10_30",0.429077607277696
"2013-09-03",4,"10_30",0.49899099808762
"2013-06-11",4,"10_30",0.34483497049624
"2012-09-03",4,"transition",0.775188734331493
"2012-06-13",4,"transition",1.34361034747855
"2014-11-17",4,"transition",0.800301541049896
"2015-09-09",4,"transition",0.7390984731793
"2018-10-01",4,"transition",1.8185653956771
"2014-09-09",4,"transition",0.605564506916185
"2014-06-17",4,"transition",0.490526799493567
"2015-11-30",4,"transition",0.796241386670278
"2012-12-11",4,"transition",0.9681212554076
"2014-03-10",4,"transition",0.701203698969498
"2015-06-09",4,"transition",1.11729433483667
"2013-12-10",4,"transition",0.681203679247656
"2013-03-11",4,"transition",1.00932430355635
"2013-06-11",4,"transition",0.778045880006045
"2013-09-03",4,"transition",1.12586577186031
"2015-03-10",4,"transition",0.182706947082981
"2015-06-09",5,"0_10",0.271186666666666
"2014-11-17",5,"0_10",0.224091999999999
"2015-09-09",5,"0_10",0.174386666666666
"2013-06-11",5,"0_10",0.201373333333333
"2015-03-10",5,"0_10",0.0711333333333332
"2014-06-17",5,"0_10",0.175325333333333
"2012-06-13",5,"0_10",0.172626666666666
"2013-03-11",5,"0_10",0.245431999999999
"2014-09-09",5,"0_10",0.170808
"2013-12-10",5,"0_10",0.196181333333333
"2012-09-03",5,"0_10",0.193365333333333
"2018-10-01",5,"0_10",0.466976524373332
"2014-03-10",5,"0_10",0.178522666666666
"2012-12-11",5,"0_10",0.228770666666666
"2013-09-03",5,"0_10",0.271127999999999
"2015-11-30",5,"0_10",0.208182857142856
"2015-06-09",5,"10_30",0.665927083470201
"2014-11-17",5,"10_30",0.550281228141764
"2012-09-03",5,"10_30",0.474828700295898
"2015-03-10",5,"10_30",0.174675303127662
"2012-12-11",5,"10_30",0.561770181069129
"2013-03-11",5,"10_30",0.602683819080062
"2014-09-09",5,"10_30",0.419436820664898
"2013-12-10",5,"10_30",0.481743681368167
"2012-06-13",5,"10_30",0.42390274594074
"2018-10-01",5,"10_30",1.14670945569467
"2013-06-11",5,"10_30",0.494493177720166
"2014-03-10",5,"10_30",0.438380987560804
"2015-09-09",5,"10_30",0.428224609110909
"2015-11-30",5,"10_30",0.511214672128558
"2013-09-03",5,"10_30",0.665783021364528
"2014-06-17",5,"10_30",0.430529602801664
"2015-11-30",5,"transition",1.23545877330461
"2015-09-09",5,"transition",1.03489566930498
"2015-06-09",5,"transition",1.60935415689227
"2012-06-13",5,"transition",1.02445096953066
"2013-03-11",5,"transition",1.45651338352813
"2014-09-09",5,"transition",1.0136581130972
"2014-11-17",5,"transition",1.32987139876457
"2018-10-01",5,"transition",2.7712668174615
"2012-09-03",5,"transition",1.147524348538
"2013-06-11",5,"transition",1.19504773251113
"2015-03-10",5,"transition",0.42213994921187
"2014-06-17",5,"transition",1.04046617585128
"2012-12-11",5,"transition",1.35763689233129
"2013-12-10",5,"transition",1.16423586817691
"2014-03-10",5,"transition",1.05944071377461
"2013-09-03",5,"transition",1.60900600023312
"2012-12-11",6,"0_10",0.255025000000001
"2015-09-09",6,"0_10",0.183146666666667
"2015-11-30",6,"0_10",0.254015000000001
"2012-06-13",6,"0_10",0.226610333333334
"2013-03-11",6,"0_10",0.312460333333334
"2015-06-09",6,"0_10",0.295761666666667
"2018-10-01",6,"0_10",0.520932740304001
"2012-09-03",6,"0_10",0.240110666666667
"2014-03-10",6,"0_10",0.224354666666667
"2014-06-17",6,"0_10",0.151028666666667
"2014-11-17",6,"0_10",0.263465714285715
"2015-03-10",6,"0_10",0.0861866666666669
"2013-12-10",6,"0_10",0.193650666666667
"2014-09-09",6,"0_10",0.213497166666667
"2013-09-03",6,"0_10",0.309194666666667
"2013-06-11",6,"0_10",0.211898000000001
"2015-09-09",6,"10_30",0.274969222332897
"2015-03-10",6,"10_30",0.129397281097834
"2015-11-30",6,"10_30",0.381368158548108
"2014-09-09",6,"10_30",0.320536272688247
"2015-06-09",6,"10_30",0.444044966579873
"2014-03-10",6,"10_30",0.336837297357799
"2013-09-03",6,"10_30",0.464212745938478
"2014-11-17",6,"10_30",0.395557090320275
"2013-06-11",6,"10_30",0.318135346574127
"2013-03-11",6,"10_30",0.469115689792575
"2014-06-17",6,"10_30",0.226748516798782
"2012-06-13",6,"10_30",0.340223866824031
"2012-09-03",6,"10_30",0.360492737808495
"2013-12-10",6,"10_30",0.290739515966695
"2018-10-01",6,"10_30",0.782107985344
"2012-12-11",6,"10_30",0.382884532935974
"2015-09-09",6,"transition",0.348693299469649
"2015-03-10",6,"transition",0.164090964456305
"2014-09-09",6,"transition",0.406477676210805
"2012-09-03",6,"transition",0.457147171289988
"2014-03-10",6,"transition",0.42714929185032
"2014-11-17",6,"transition",0.501612892461853
"2013-06-11",6,"transition",0.403433019643744
"2012-12-11",6,"transition",0.485542599904888
"2013-09-03",6,"transition",0.588676334986998
"2014-06-17",6,"transition",0.287543775996479
"2015-11-30",6,"transition",0.483619658915166
"2012-06-13",6,"transition",0.4314438600607
"2013-03-11",6,"transition",0.594893844187098
"2013-12-10",6,"transition",0.368691885762761
"2015-06-09",6,"transition",0.563101219823686
"2018-10-01",6,"transition",0.9918048705138
